,wine brand name,wine name,year,region,type,winery,price,rating,no. ratings
34,Bordeaux Blanc,Bordeaux Blanc 2021,2021,Bordeaux,0,Château Boisson,5.5,3.8,187
35,Le Petit Balthazar Viognier - Sauvignon Blanc,Le Petit Balthazar Viognier - Sauvignon Blanc 2022,2022,Pays d'Oc,0,Pierrick Harang,5.5,3.6,857
36,4 Saisons Chardonnay,4 Saisons Chardonnay 2022,2022,Côtes Catalanes,0,Vignerons Catalans,5.6,3.7,230
37,Chardonnay,Chardonnay 2022,2022,Côtes Catalanes,0,Les Vignerons des Albères,5.6,3.6,109
38,Bordeaux Blanc,Bordeaux Blanc 2019,2019,Bordeaux,0,Château Saint-Florin,5.7,3.4,391
39,Graves Blanc,Graves Blanc 2016,2016,Graves,0,Château Bousquet,5.76,3.4,52
40,Amountanage Blanc,Amountanage Blanc 2018,2018,Luberon,0,Marrenon,5.85,3.6,265
41,Chardonnay,Chardonnay 2019,2019,Mendoza,0,Los Medanos,5.88,3.3,191
42,Blanc Fruité,Blanc Fruité 2021,2021,Zuidwest-Frankrijk,0,Demon Noir,5.9,3.7,221
43,Prémices Muscat Sec,Prémices Muscat Sec 2022,2022,Côtes Catalanes,0,Deprade Jorda,5.9,3.8,32
44,Prémices Chardonnay,Prémices Chardonnay 2022,2022,Côtes Catalanes,0,Deprade Jorda,5.9,3.4,38
45,Esprit de Sérame Chardonnay,Esprit de Sérame Chardonnay 2015,2015,Pays d'Oc,0,Chateau de Sérame,5.94,3.3,192
46,Varietal Range Chardonnay,Varietal Range Chardonnay 2010,2010,Zuidoost-Australië,0,Hardys,5.95,3.2,2605
47,No. 3 Colombard - Sauvignon,No. 3 Colombard - Sauvignon 2022,2022,Côtes de Gascogne,0,Uby,5.95,4.0,11200
48,Entre-deux-Mers,Entre-deux-Mers 2021,2021,Entre-deux-Mers,0,Château Gabelot,6.0,3.8,93
49,Le Petit Balthazar Viognier - Sauvignon Blanc,Le Petit Balthazar Viognier - Sauvignon Blanc 2020,2020,Pays d'Oc,0,Pierrick Harang,6.0,3.6,857
50,La Croix Picot Savennières Blanc,La Croix Picot Savennières Blanc 2021,2021,Savennières,0,Château de Bellevue,6.0,3.8,197
51,Entre-deux-Mers,Entre-deux-Mers 2022,2022,Entre-deux-Mers,0,Château Gabelot,6.0,3.8,93
52,Côtes du Rhône Blanc,Côtes du Rhône Blanc 2009,2009,Côtes du Rhône,0,Domaine Martin,6.08,3.3,45
53,Terre d'Ocres Blanc,Terre d'Ocres Blanc 2010,2010,Ventoux,0,Domaine de Tara,6.1,3.8,87
54,Côtes de Gascogne Réserve,Côtes de Gascogne Réserve 2014,2014,Côtes de Gascogne,0,Domaine du Tariquet,6.16,3.7,1407
55,Côtes du Rhône Blanc,Côtes du Rhône Blanc 2013,2013,Côtes du Rhône,0,Domaine Martin,6.21,3.3,45
56,Bordeaux Blanc,Bordeaux Blanc 2018,2018,Bordeaux,0,Château Roquefort,6.21,3.6,558
57,Blanc,Blanc 2022,2022,Ardèche,0,Orélie,6.25,3.5,305
58,Cuvée Prestige Bordeaux Blanc Sec,Cuvée Prestige Bordeaux Blanc Sec 2020,2020,Bordeaux,0,Duchesse de Berry,6.26,3.5,42
59,Private Gallery Chardonnay - Viognier,Private Gallery Chardonnay - Viognier 2017,2017,Méditerranée,0,Marrenon,6.32,3.5,149
60,Entre-deux-Mers,Entre-deux-Mers 2022,2022,Entre-deux-Mers,0,Château des Léotins,6.35,3.6,412
61,Pigmentum Ugni Blanc - Colombard,Pigmentum Ugni Blanc - Colombard 2015,2015,Zuidwest-Frankrijk,0,Georges Vigouroux,6.44,3.6,820
62,Beau Mayne Sauvignon Blanc Bordeaux,Beau Mayne Sauvignon Blanc Bordeaux 2014,2014,Bordeaux,0,Dourthe,6.48,3.3,536
63,Les Cardounettes Blanc,Les Cardounettes Blanc 2018,2018,Pays d'Oc,0,Foncalieu,6.48,3.3,79
64,Vendredi,Vendredi 2017,2017,Aude,0,Maison Le Jeune,6.5,3.7,42
65,Côtes De Gascogne Classic,Côtes De Gascogne Classic 2022,2022,Côtes de Gascogne,0,Domaine du Tariquet,6.5,3.5,11942
66,Bergerac Sec,Bergerac Sec 2016,2016,Bergerac Sec,0,Château Vari,6.5,3.4,164
67,Côtes De Gascogne Classic,Côtes De Gascogne Classic 2021,2021,Côtes de Gascogne,0,Domaine du Tariquet,6.5,3.5,11942
68,Les Parcelles Sauvignon Blanc,Les Parcelles Sauvignon Blanc 2021,2021,Het Loiredal,0,Réthoré Davy,6.503333333333333,3.7,486
69,Sauvignon Blanc,Sauvignon Blanc 2020,2020,Pays d'Oc,0,Côte des Roses,6.555,3.8,1172
70,Colombard - Sauvignon (Côtes Sauvage),Colombard - Sauvignon (Côtes Sauvage) 2022,2022,Côtes de Gascogne,0,Villa Dria,6.65,3.8,1147
71,Les Yeux dans les étotiles Blanc,Les Yeux dans les étotiles Blanc 2022,2022,Pays d'Oc,0,Alma Cersius,6.708333333333333,3.2,79
72,Les Parcelles Chardonnay,Les Parcelles Chardonnay 2022,2022,Het Loiredal,0,Réthoré Davy,6.75,3.5,227
73,Bordeaux Blanc,Bordeaux Blanc 2020,2020,Bordeaux,0,Château Roquefort,6.75,3.6,558
74,Retsina,Retsina N.V.,N.V.,Thessaloniki,1,Malamatina,6.78,3.2,3987
75,Ugni Blanc - Colombard Côtes De Gascogne Classic,Ugni Blanc - Colombard Côtes De Gascogne Classic 2021,2021,Côtes de Gascogne,0,Domaine du Tariquet,6.9,3.5,823
76,Le Clandestin Sauvignon,Le Clandestin Sauvignon 2021,2021,Pays d'Oc,0,Sainte Marie des Crozes,6.9,3.5,155
77,Le Bordeaux de Maucaillou Blanc (B),Le Bordeaux de Maucaillou Blanc (B) 2021,2021,Bordeaux,0,Château Maucaillou,6.9,3.5,429
78,Pinot Grigio,Pinot Grigio 2021,2021,Veneto,0,Campagnola,6.9,3.8,2356
79,Le Canon du Maréchal Muscat - Viognier,Le Canon du Maréchal Muscat - Viognier 2022,2022,Côtes Catalanes,0,Cazes,6.9,3.6,1634
80,Tiberius Blanc,Tiberius Blanc 2022,2022,Pays d'Oc,0,Les Vignerons du Sommiérois,6.9,3.3,83
81,Ninet de Péna Blanc,Ninet de Péna Blanc 2022,2022,Côtes Catalanes,0,Château de Péna,6.9,3.5,51
82,Les Camines Blanc,Les Camines Blanc 2022,2022,Côtes Catalanes,0,Dom Brial,6.95,3.7,73
83,Harmonie de Gascogne Blanc,Harmonie de Gascogne Blanc 2021,2021,Côtes de Gascogne,0,Domaine de Pellehaut,7.0,3.8,7858
84,Crazy Blanc,Crazy Blanc 2022,2022,Côtes de Provence,0,Domaine Tropez,7.1,3.7,356
85,Trebbiano - Chardonnay,Trebbiano - Chardonnay 2022,2022,Rubicone,0,É Gòt,7.1,3.3,356
86,Côtes du Rhône Blanc,Côtes du Rhône Blanc 2017,2017,Côtes du Rhône,0,Domaine Martin,7.11,3.3,45
87,Chenin Blanc (Free-Run Steen),Chenin Blanc (Free-Run Steen) 2018,2018,Kuststreek,0,MAN,7.2,3.6,6115
88,Clarisse Côtes Catalanes,Clarisse Côtes Catalanes 2022,2022,Côtes Catalanes,0,Domaine Piquemal,7.2,3.4,63
89,Pecorino Sostenibile Biologico,Pecorino Sostenibile Biologico 2021,2021,Abruzzo,0,Cantina Tollo,7.2,3.6,106
90,Pigmentum Sauvignon Blanc,Pigmentum Sauvignon Blanc 2021,2021,Buzet,0,Georges Vigouroux,7.2,3.4,64
91,Terres Blanches Côtes de Gascogne,Terres Blanches Côtes de Gascogne 2020,2020,Côtes de Gascogne,0,Domaine Chiroulet,7.2,3.7,1180
92,Chenin Blanc (Free-Run Steen),Chenin Blanc (Free-Run Steen) 2016,2016,Kuststreek,0,MAN,7.2,3.6,6115
93,Chardonnay,Chardonnay 2022,2022,Cevennes,0,Vignerons de Tornac,7.25,3.6,128
94,Nomad Chardonnay,Nomad Chardonnay 2019,2019,Dealu Mare,0,Aurelia Visinescu,7.28,3.5,84
95,Chardonnay (Padstal),Chardonnay (Padstal) 2015,2015,Kuststreek,0,MAN,7.29,3.4,1389
96,Cuvée des Chartreux Belle Emilie Blanc,Cuvée des Chartreux Belle Emilie Blanc 2022,2022,Gard,0,Cellier des Chartreux,7.3,3.2,453
97,L'Infini Blanc,L'Infini Blanc 2021,2021,Côtes Catalanes,0,Domaine du Paradis,7.3,3.6,166
98,Soave Classico,Soave Classico 2021,2021,Soave Classico,0,Campagnola,7.35,3.5,834
99,Sauvignon,Sauvignon 2021,2021,Côtes de Duras,0,Domaine de Laulan,7.4,3.8,229
100,L'Été Gascon Blanc,L'Été Gascon Blanc 2022,2022,Côtes de Gascogne,0,Domaine de Pellehaut,7.4,4.1,5276
101,Graves Blanc,Graves Blanc 2020,2020,Graves,0,Château du Mouret,7.5,3.7,271
102,L'Impertinent Bordeaux Blanc,L'Impertinent Bordeaux Blanc 2021,2021,Bordeaux,0,Vignobles Perez,7.5,3.8,25
103,Zangre Blanc,Zangre Blanc 2022,2022,Pays d'Oc,0,Famille Cros Pujol,7.5,3.7,29
104,Les Vignes de Bila-Haut Côtes du Roussillon Blanc,Les Vignes de Bila-Haut Côtes du Roussillon Blanc 2021,2021,Côtes du Roussillon,0,M. Chapoutier,7.5,3.6,1762
105,Illico Blanc,Illico Blanc 2022,2022,Côtes Catalanes,0,Domaine des Schistes,7.5,3.6,339
106,Le Mas de Vessière Blanc,Le Mas de Vessière Blanc 2022,2022,Pays d'Oc,0,Château Vessière,7.5,3.6,98
107,L'Indecent Blanc,L'Indecent Blanc 2019,2019,Pays d'Oc,0,Clos d'Elle,7.5,3.3,41
108,Terres Blanches Côtes de Gascogne,Terres Blanches Côtes de Gascogne 2021,2021,Côtes de Gascogne,0,Domaine Chiroulet,7.5,3.7,1180
109,Graves Blanc,Graves Blanc 2016,2016,Graves,0,Château Puy Boyrein,7.5,3.3,44
110,Les Vignes Retrouvées Saint-Mont Blanc,Les Vignes Retrouvées Saint-Mont Blanc 2020,2020,Saint-Mont,0,Plaimont,7.5,3.7,1005
111,Elise Côtes Catalanes,Elise Côtes Catalanes 2022,2022,Côtes Catalanes,0,Domaine Piquemal,7.5,3.7,55
112,Blanc,Blanc 2022,2022,Var,0,Domaine Escaravatiers,7.5,3.7,44
113,Riesling,Riesling 2020,2020,Elzas,0,Joseph Cattin,7.5,3.6,1552
114,Molino a Vento Grillo,Molino a Vento Grillo 2021,2021,Terre Siciliane,0,Tenute Orestiadi,7.52,3.4,997
115,Viña Esmeralda,Viña Esmeralda 2014,2014,Catalonië,0,Familia Torres,7.56,4.0,48230
116,Sauvignon,Sauvignon 2021,2021,Pays d'Oc,0,Château Salitis,7.6,3.4,62
117,Graves Blanc,Graves Blanc 2012,2012,Bordeaux,0,Château Bel Air Gallier,7.65,3.4,59
118,Carpio Bianco,Carpio Bianco 2021,2021,Benaco Bresciano,0,Cantine La Pergola,7.68,3.6,96
119,Collection Viognier,Collection Viognier 2022,2022,Pays d'Oc,0,Gayda,7.7,3.8,452
120,Nomad Feteasca Regala,Nomad Feteasca Regala 2018,2018,Dealu Mare,0,Aurelia Visinescu,7.7,3.6,98
121,Bordeaux Blanc,Bordeaux Blanc 2018,2018,Bordeaux,0,Château La Tour Saint Blaise,7.7,3.8,61
122,Chèvrefeuille Valençay,Chèvrefeuille Valençay 2021,2021,Valençay,0,Francis Jourdain - Domaine des Moreaux,7.75,3.8,293
123,Chardonnay - Gros Manseng (Terre de Feu),Chardonnay - Gros Manseng (Terre de Feu) 2021,2021,Côtes de Gascogne,0,Villa Dria,7.75,3.8,311
124,Les Grains Viognier,Les Grains Viognier 2022,2022,Méditerranée,0,Marrenon,7.75,3.6,585
125,Chèvrefeuille Valençay,Chèvrefeuille Valençay 2022,2022,Valençay,0,Francis Jourdain - Domaine des Moreaux,7.75,3.8,293
126,Bouquet de Blancs,Bouquet de Blancs 2020,2020,Pays d'Oc,0,Mas Montel - Mas Granier,7.8,3.6,88
127,Ecceterra Blanco,Ecceterra Blanco 2022,2022,Hérault,0,Domaine du Clos Roca,7.8,3.7,116
128,Entre-Deux-Mers,Entre-Deux-Mers 2020,2020,Entre-deux-Mers,0,Château Vrai Caillou,7.82,3.5,412
129,Violon d'Ingres Blanc,Violon d'Ingres Blanc 2022,2022,Alpilles,0,Domaine le Grand Castelet,7.8966666666666665,3.8,100
130,Dans l'air du Temps Chardonnay,Dans l'air du Temps Chardonnay 2021,2021,Languedoc-Roussillon,0,Jeff Carrel,7.9,3.8,1130
131,La Belle Étoile Blanc,La Belle Étoile Blanc 2021,2021,Gard,0,Château de Manissy,7.9,3.3,47
132,Marius Vermentino,Marius Vermentino 2020,2020,Pays d'Oc,0,M. Chapoutier,7.9,3.7,3764
133,Verdejo,Verdejo 2020,2020,Rueda,0,Intruso,7.9,3.7,270
134,Le Petit Courselle Les Copinnes Blanc,Le Petit Courselle Les Copinnes Blanc 2021,2021,Vin de France,0,Marie & Sylvie Courselle,7.9,3.4,556
135,Graves Blanc,Graves Blanc 2020,2020,Graves,0,Château Puy Boyrein,7.9,3.3,44
136,Insolent Blanc,Insolent Blanc 2022,2022,Côtes Catalanes,0,Deprade Jorda,7.9,4.3,71
137,Chardonnay de Pennautier,Chardonnay de Pennautier 2021,2021,Pays d'Oc,0,Château de Pennautier,7.9,3.5,625
138,Chardonnay,Chardonnay 2021,2021,Veneto,0,Campagnola,7.9,3.7,469
139,Vieille Mule Blanc,Vieille Mule Blanc 2021,2021,Côtes Catalanes,0,Jeff Carrel,7.9,3.5,1044
140,Roussanne,Roussanne 2022,2022,Pays d'Oc,0,Les Jamelles,7.95,3.6,101
141,Riesling Kabinett Feinherb,Riesling Kabinett Feinherb 2021,2021,Rheinhessen,0,Peter Mertes Gold Edition,7.95,4.1,1381
142,L'Eclat Côtes de Gascogne,L'Eclat Côtes de Gascogne 2022,2022,Côtes de Gascogne,0,Domaine de Joy,7.95,3.6,947
143,El Abuelo Verdejo - Sauvignon Blanc,El Abuelo Verdejo - Sauvignon Blanc 2022,2022,Almansa,0,Bodegas Piqueras,7.95,3.9,1461
144,No 4 Côtes de Gascogne Gros - Petit Manseng,No 4 Côtes de Gascogne Gros - Petit Manseng 2022,2022,Côtes de Gascogne,0,Uby,7.96,4.2,8360
145,Falanghina Beneventano,Falanghina Beneventano 2022,2022,Falanghina del Beneventano,0,Bellamico,7.99,3.1,72
146,Graves de Vayres Blanc,Graves de Vayres Blanc 2018,2018,Graves de Vayres,0,Château Lesparre,8.0,3.7,44
147,Verdeca,Verdeca 2020,2020,Puglia,0,Cantele,8.0,3.5,646
148,Nova Ona Blanc,Nova Ona Blanc 2022,2022,Languedoc-Roussillon,0,Chateau des Hospices,8.0,3.8,29
149,Elicio Vermentino,Elicio Vermentino 2019,2019,Méditerranée,0,Caravinserail,8.0,3.7,318
150,Les Balmettes Blanc,Les Balmettes Blanc 2022,2022,Côtes Catalanes,0,Mas Cremat,8.0,3.3,50
151,Voltige Gaillac,Voltige Gaillac 2016,2016,Gaillac,0,Château Adelaide,8.0,3.6,79
152,Artisan Tamaioasa Romaneasca Sec,Artisan Tamaioasa Romaneasca Sec 2018,2018,Dealu Mare,0,Aurelia Visinescu,8.0,3.8,441
153,Cameleon White,Cameleon White 2018,2018,Dealu Mare,0,Lacerta,8.0,3.0,33
154,Sémillon - Chardonnay,Sémillon - Chardonnay 2020,2020,Zuid-Australië,0,Rawson's Retreat,8.0,3.4,1687
155,C Chardonnay,C Chardonnay 2022,2022,Pays d'Oc,0,Famille Jean-Pierre  Rambier - Domaine Haut-Lirou,8.0,3.8,40
156,Pays d'Oc 6ème Sens White,Pays d'Oc 6ème Sens White 2022,2022,Pays d'Oc,0,Gérard Bertrand,8.01,3.3,1971
157,Viognier,Viognier 2022,2022,Pays d'Oc,0,Les Jamelles,8.05,3.7,3595
158,Sauvignon Blanc,Sauvignon Blanc 2022,2022,Pays d'Oc,0,Les Jamelles,8.05,3.5,3810
159,Traminer Aromatico,Traminer Aromatico 2022,2022,Venezia,0,Ca'Tullio,8.08,3.8,318
160,Pinot Grigio,Pinot Grigio 2022,2022,Friuli-Venezia Giulia,0,Ca'Tullio,8.08,3.6,359
161,Chardonnay,Chardonnay 2022,2022,Colli Orientali del Friuli,0,Ca'Tullio,8.08,3.3,48
162,Sauvignon,Sauvignon 2022,2022,Colli Orientali del Friuli,0,Ca'Tullio,8.08,3.5,66
163,Sylvaner Alsace,Sylvaner Alsace 2011,2011,Elzas,0,Gustave Lorentz,8.1,3.4,69
164,Viognier,Viognier 2022,2022,Pays d'Oc,0,Les Vignerons du Sommiérois,8.1,3.3,39
165,Pigmentum Gros Manseng,Pigmentum Gros Manseng 2021,2021,Gascogne,0,Georges Vigouroux,8.1,3.9,310
166,Chardonnay,Chardonnay 2022,2022,Pays d'Oc,0,Sainte Magdelaine,8.1,3.3,345
167,Sylvaner Alsace,Sylvaner Alsace 2010,2010,Elzas,0,Gustave Lorentz,8.1,3.4,69
168,No. 1 Sauvignon Blanc,No. 1 Sauvignon Blanc 2015,2015,Bordeaux,0,Dourthe,8.1,3.6,84
169,Chardonnay,Chardonnay 2022,2022,Languedoc-Roussillon,0,Les Vignerons du Sommiérois,8.1,3.4,29
170,Bianco (Cariddi),Bianco (Cariddi) 2020,2020,Sicilia,0,Colosi,8.18,3.6,404
171,Le Tre Roero Arneis,Le Tre Roero Arneis 2022,2022,Roero,0,Malabaila,8.18,3.8,226
172,Jardin des Anges Sauvignon Touraine,Jardin des Anges Sauvignon Touraine 2020,2020,Touraine,0,Oisly Thésée,8.19,3.5,79
173,Sauvignon Blanc Val de Loire,Sauvignon Blanc Val de Loire 2021,2021,Val de Loire,0,J. de Villebois,8.2,3.8,3768
174,Sauvignon Blanc Val de Loire,Sauvignon Blanc Val de Loire 2022,2022,Val de Loire,0,J. de Villebois,8.2,3.8,3768
175,Cuvée Expression Costières de Nîmes Blanc,Cuvée Expression Costières de Nîmes Blanc 2022,2022,Costières-de-Nîmes,0,Château Beaubois,8.23,3.6,314
176,Sauvignon Blanc Bordeaux,Sauvignon Blanc Bordeaux 2014,2014,Bordeaux,0,N°1 de Dourthe,8.28,3.6,3431
177,Trebbiano d'Abruzzo,Trebbiano d'Abruzzo 2021,2021,Trebbiano d'Abruzzo,0,Citra,8.28,3.2,767
178,Gewürztraminer,Gewürztraminer 2021,2021,Pays d'Oc,0,Les Jamelles,8.3,3.8,330
179,Pinot Grigio delle Venezie,Pinot Grigio delle Venezie 2021,2021,delle Venezie,0,Vaja,8.3,3.4,37
180,Signature Blanc,Signature Blanc 2022,2022,Côtes de Gascogne,0,Domaine Saint-Lannes,8.3,3.8,1804
181,Pinot Gris,Pinot Gris 2021,2021,Pays d'Oc,0,Les Jamelles,8.3,3.8,743
182,Riesling,Riesling 2010,2010,Elzas,0,Gustave Lorentz,8.31,3.6,430
183,Terra Sana  Sauvignon Blanc Côtes de Gascogne,Terra Sana  Sauvignon Blanc Côtes de Gascogne 2018,2018,Côtes de Gascogne,0,François Lurton,8.32,3.4,163
184,Chardonnay,Chardonnay 2022,2022,Pays d'Oc,0,Domaine Py,8.33,3.5,304
185,Palio Pecorino Terre di Chieti,Palio Pecorino Terre di Chieti 2022,2022,Terre di Chieti,0,Citra,8.38,3.7,540
186,Respiro di Terra Primitivo,Respiro di Terra Primitivo 2020,2020,Puglia,0,Casa Vinicola Errico,8.38,4.0,33
187,Cantalupi Chardonnay Salento,Cantalupi Chardonnay Salento 2022,2022,Salento,0,Conti Zecca,8.38,3.3,536
188,Gewürztraminer,Gewürztraminer 2021,2021,Pays d'Oc,0,Maison Castel,8.38,3.5,78
189,Tyrsos Vermentino di Sardegna,Tyrsos Vermentino di Sardegna 2022,2022,Vermentino di Sardegna,0,Contini,8.38,3.6,1330
190,Muscat Sec,Muscat Sec 2021,2021,Pays d'Oc,0,Les Jamelles,8.4,3.9,537
191,Reserve Bordeaux Blanc,Reserve Bordeaux Blanc 2021,2021,Bordeaux,0,Château Lamothe-Vincent,8.4,3.8,50
192,Cotes de Gascogne,Cotes de Gascogne 2020,2020,Côtes de Gascogne,0,Domaine du Touĵa,8.4,3.6,484
193,Verdejo Single Vineyard Blanco,Verdejo Single Vineyard Blanco 2021,2021,Jumilla,0,Olivares,8.4,3.5,158
194,Chardonnay,Chardonnay 2022,2022,Pays d'Oc,0,Côte des Roses,8.4,3.7,2138
195,Entre-deux-Mers,Entre-deux-Mers 2022,2022,Entre-deux-Mers,0,Château Landereau,8.4,3.9,2099
196,Closi Le Petit Muscat Sec,Closi Le Petit Muscat Sec 2022,2022,Méditerranée,0,Domaine Boudau,8.4,3.8,130
197,Chardonnay,Chardonnay 2021,2021,Pays d'Oc,0,Les Jamelles,8.4,3.6,4397
198,Aux 4 Vents Blanc,Aux 4 Vents Blanc 2022,2022,Hérault,0,Clos Bagatelle,8.43,3.4,75
199,Trebbiano d'Abruzzo,Trebbiano d'Abruzzo 2022,2022,Trebbiano d'Abruzzo,0,La Valentina,8.48,3.4,452
200,Drôle d'Oiseau Blanc,Drôle d'Oiseau Blanc 2019,2019,Pays d'Oc,0,Gérard Bertrand,8.49,3.3,49
201,Loup y es-tu,Loup y es-tu 2021,2021,Languedoc,0,Domaine de l'Hortus,8.49,3.7,900
202,K Blanc,K Blanc 2022,2022,Vaucluse,0,Le Clos de Garaud,8.496666666666666,3.7,35
203,Terres Blanches Muscat Sec,Terres Blanches Muscat Sec 2019,2019,Pays d'Oc,0,Cave des Vignerons de Frontignan,8.5,3.9,935
204,L'Été Gascon Blanc,L'Été Gascon Blanc 2021,2021,Côtes de Gascogne,0,Domaine de Pellehaut,8.5,4.1,5276
205,Côtes de Bourg Graines Blanches,Côtes de Bourg Graines Blanches 2019,2019,Côtes de Bourg,0,Château Mercier,8.5,3.8,138
206,Sauvignon,Sauvignon 2018,2018,Hérault,0,Domaine la Colombette,8.5,3.7,932
207,Jolie Môme Muscat Sec Perlant,Jolie Môme Muscat Sec Perlant 2022,2022,Pays d'Oc,0,Sarrat de Goundy,8.5,3.8,59
208,Mar Blanc,Mar Blanc 2022,2022,Côtes du Roussillon,0,Clos des Vins d'Amour,8.5,3.8,185
209,Chenin - Chardonnay Côtes De Gascogne,Chenin - Chardonnay Côtes De Gascogne 2022,2022,Côtes de Gascogne,0,Domaine du Tariquet,8.5,3.6,1056
210,K Ré Blanc,K Ré Blanc 2022,2022,Côtes Catalanes,0,Château Lafforgue,8.5,4.0,47
211,Sauvignon Blanc Bordeaux,Sauvignon Blanc Bordeaux 2021,2021,Bordeaux,0,N°1 de Dourthe,8.5,3.6,3431
212,Les Villas Villa Côte d'Argent,Les Villas Villa Côte d'Argent 2022,2022,Vin de France,0,Lionel Osmin & Cie,8.5,3.9,432
213,Ca'Preella Soave,Ca'Preella Soave 2021,2021,Soave,0,Lamberti,8.5,3.3,81
214,Montis Régalis,Montis Régalis 2019,2019,Vin de France,0,Dominique Andiran,8.5,3.7,182
215,Maccabeu,Maccabeu 2022,2022,Côtes Catalanes,0,Domaine Grier,8.5,3.8,161
216,Blanc,Blanc 2021,2021,Méditerranée,0,Figuière,8.5,3.8,245
217,Entre-Deux-Mers Blanc,Entre-Deux-Mers Blanc 2021,2021,Entre-deux-Mers,0,Château Turcaud,8.5,3.8,1903
