,wine brand name,wine name,year,region,type,winery,price,rating,no. ratings,country
0,Saint-Julien,Saint-Julien 2003,2003,saint-julien,0,Château Gloria,87.0,4.1,28565,France
1,Muntada Côtes du Roussillon Villages,Muntada Côtes du Roussillon Villages 2018,2018,cotes-du-roussillon-villages,0,Domaine Gauby,87.0,4.2,1566,France
2,Savigny-lès-Beaune 1er Cru 'La Dominode',Savigny-lès-Beaune 1er Cru 'La Dominode' 2019,2019,savigny-les-beaune-la-dominode,0,Domaine Bruno Clair,87.0,4.1,1181,France
3,Morey-Saint-Denis Premier Cru 'Chaffots',Morey-Saint-Denis Premier Cru 'Chaffots' 2018,2018,morey-saint-denis-les-chaffots,0,Michel Magnien,87.0,4.2,561,France
4,Barolo,Barolo 2016,2016,barolo,0,Pio Cesare,87.0,4.2,23170,Italia
5,Saint-Émilion Grand Cru (Premier Grand Cru Classé),Saint-Émilion Grand Cru (Premier Grand Cru Classé) 2017,2017,st-emilion-grand-cru,0,Château Pavie Macquin,87.0,4.3,10783,France
6,Pauillac (Grand Cru Classé),Pauillac (Grand Cru Classé) 2014,2014,pauillac,0,Château Duhart-Milon,87.0,4.3,21028,France
7,Pomerol,Pomerol 2019,2019,pomerol,0,Château Petit-Village,87.1,4.2,5956,France
8,Brunello di Montalcino,Brunello di Montalcino 2008,2008,brunello-di-montalcino,0,Siro Pacenti,87.4,4.4,927,Italia
9,Barolo Bussia,Barolo Bussia 2012,2012,barolo,0,Prunotto,87.4,4.2,8314,Italia
10,Cannubi Barolo,Cannubi Barolo 2016,2016,barolo,0,Virna,87.4,4.4,263,Italia
11,Volnay,Volnay 2018,2018,volnay,0,Domaine Joseph Voillot,87.4,4.1,32,France
12,Terra di Lavoro,Terra di Lavoro 2002,2002,roccamonfina,0,Galardi,87.4,4.2,6096,Italia
13,Barolo Bussia,Barolo Bussia 2011,2011,barolo,0,Prunotto,87.4,4.2,8314,Italia
14,Barolo,Barolo 2018,2018,barolo,0,Cascina Fontana,87.4,4.1,2753,Italia
15,Chianti Classico,Chianti Classico 2019,2019,chianti-classico,0,Isole e Olena,87.4,3.9,17870,Italia
16,Antonio Castagnedi Amarone della Valpolicella,Antonio Castagnedi Amarone della Valpolicella 2003,2003,amarone-della-valpolicella,0,Tenuta Sant'Antonio,87.4,4.2,18809,Italia
17,Barolo,Barolo 2018,2018,barolo,0,Gian Luca Colombo,87.4,4.3,160,Italia
18,Chianti Classico Riserva Baron Ugo,Chianti Classico Riserva Baron Ugo 2015,2015,chianti-classico,0,Monteraponi,87.4,4.1,921,Italia
19,Brunello di Montalcino,Brunello di Montalcino 2011,2011,brunello-di-montalcino,0,San Filippo,87.4,4.1,995,Italia
20,Bourgogne Hautes Côtes de Nuits Rouge,Bourgogne Hautes Côtes de Nuits Rouge 2015,2015,bourgogne-hautes-cotes-de-nuits,0,Jayer Gilles,87.4,3.8,484,France
21,Barbaresco Riserva Rio Sordo,Barbaresco Riserva Rio Sordo 2015,2015,barbaresco,0,Produttori del Barbaresco,87.4,4.2,3691,Italia
22,Barbaresco Riserva Muncagota,Barbaresco Riserva Muncagota 2015,2015,barbaresco,0,Produttori del Barbaresco,87.4,4.2,2227,Italia
23,Duca Enrico Rosso,Duca Enrico Rosso 1988,1988,sicily,0,Duca di Salaparuta,87.4,4.2,2592,Italia
24,Le Lucére Brunello di Montalcino,Le Lucére Brunello di Montalcino 2005,2005,brunello-di-montalcino,0,San Filippo,87.4,4.3,2584,Italia
25,Saint-Julien,Saint-Julien 2003,2003,saint-julien,0,Château Gloria,87.0,4.1,28565,France
26,Muntada Côtes du Roussillon Villages,Muntada Côtes du Roussillon Villages 2018,2018,cotes-du-roussillon-villages,0,Domaine Gauby,87.0,4.2,1566,France
27,Savigny-lès-Beaune 1er Cru 'La Dominode',Savigny-lès-Beaune 1er Cru 'La Dominode' 2019,2019,savigny-les-beaune-la-dominode,0,Domaine Bruno Clair,87.0,4.1,1181,France
28,Morey-Saint-Denis Premier Cru 'Chaffots',Morey-Saint-Denis Premier Cru 'Chaffots' 2018,2018,morey-saint-denis-les-chaffots,0,Michel Magnien,87.0,4.2,561,France
29,Barolo,Barolo 2016,2016,barolo,0,Pio Cesare,87.0,4.2,23170,Italia
30,Saint-Émilion Grand Cru (Premier Grand Cru Classé),Saint-Émilion Grand Cru (Premier Grand Cru Classé) 2017,2017,st-emilion-grand-cru,0,Château Pavie Macquin,87.0,4.3,10783,France
31,Pauillac (Grand Cru Classé),Pauillac (Grand Cru Classé) 2014,2014,pauillac,0,Château Duhart-Milon,87.0,4.3,21028,France
32,Pomerol,Pomerol 2019,2019,pomerol,0,Château Petit-Village,87.1,4.2,5956,France
33,Brunello di Montalcino,Brunello di Montalcino 2008,2008,brunello-di-montalcino,0,Siro Pacenti,87.4,4.4,927,Italia
34,Cannubi Barolo,Cannubi Barolo 2016,2016,barolo,0,Virna,87.4,4.4,263,Italia
35,Volnay,Volnay 2018,2018,volnay,0,Domaine Joseph Voillot,87.4,4.1,32,France
36,Barolo Bussia,Barolo Bussia 2012,2012,barolo,0,Prunotto,87.4,4.2,8314,Italia
37,Terra di Lavoro,Terra di Lavoro 2002,2002,roccamonfina,0,Galardi,87.4,4.2,6096,Italia
38,Barolo Bussia,Barolo Bussia 2011,2011,barolo,0,Prunotto,87.4,4.2,8314,Italia
39,Barolo,Barolo 2018,2018,barolo,0,Cascina Fontana,87.4,4.1,2753,Italia
40,Chianti Classico,Chianti Classico 2019,2019,chianti-classico,0,Isole e Olena,87.4,3.9,17870,Italia
41,Antonio Castagnedi Amarone della Valpolicella,Antonio Castagnedi Amarone della Valpolicella 2003,2003,amarone-della-valpolicella,0,Tenuta Sant'Antonio,87.4,4.2,18809,Italia
42,Barolo,Barolo 2018,2018,barolo,0,Gian Luca Colombo,87.4,4.3,160,Italia
43,Chianti Classico Riserva Baron Ugo,Chianti Classico Riserva Baron Ugo 2015,2015,chianti-classico,0,Monteraponi,87.4,4.1,921,Italia
44,Brunello di Montalcino,Brunello di Montalcino 2011,2011,brunello-di-montalcino,0,San Filippo,87.4,4.1,995,Italia
45,Le Lucére Brunello di Montalcino,Le Lucére Brunello di Montalcino 2005,2005,brunello-di-montalcino,0,San Filippo,87.4,4.3,2584,Italia
