,wine brand name,wine name,year,region,type,winery,price,rating,no. ratings,country
0,Clos du Papillon Savennières,Clos du Papillon Savennières 2008,2008,savennieres,0,Domaine du Closel - Château des Vaults,56.0,4.1,1479,France
1,Te Koko Sauvignon Blanc,Te Koko Sauvignon Blanc 2020,2020,marlborough,0,Cloudy Bay,56.0,4.2,9592,New Zealand
2,Rully 1er Cru 'Rabourcé',Rully 1er Cru 'Rabourcé' 2020,2020,rully-rabource,0,Domaine A. et P. de Villaine,56.0,4.4,181,France
3,Rully 1er Cru 'Cloux',Rully 1er Cru 'Cloux' 2020,2020,rully-cloux,0,Domaine A. et P. de Villaine,56.0,4.3,58,France
4,La Grande Côte Sancerre,La Grande Côte Sancerre 2022,2022,sancerre,0,François Cotat,56.0,4.3,984,France
5,Mercurey Les Vignes de Maillonge Blanc,Mercurey Les Vignes de Maillonge Blanc 2016,2016,mercurey,0,Michel Juillot,56.0,4.1,992,France
6,Rully 1er Cru Les Margotés,Rully 1er Cru Les Margotés 2020,2020,rully-margotes,0,Domaine A. et P. de Villaine,56.0,4.2,435,France
7,Zitelle Barchetta,Zitelle Barchetta 2020,2020,friuli-venezia-giulia,0,Meroi,56.1,4.1,92,Italia
8,Zitelle Casa Rossa,Zitelle Casa Rossa 2020,2020,colli-orientali-del-friuli,0,Meroi,56.1,0.0,0,Italia
9,Pratum,Pratum 2014,2014,alto-adige,0,Castel Sallegg,56.1,3.8,179,Italia
10,Asphodill Kallmuth GG Silvaner,Asphodill Kallmuth GG Silvaner 2016,2016,franken,0,Fürst Löwenstein,56.38,0.0,0,Deutschland
11,Chassagne-Montrachet,Chassagne-Montrachet 2020,2020,chassagne-montrachet,0,Bruno Colin,56.4,4.2,855,France
12,Derthona Montecitorio,Derthona Montecitorio 2020,2020,piedmont,0,Vigneti Massa,56.58,4.1,1335,Italia
13,Terres,Terres 2020,2020,loire-valley,0,Domaine des Roches Neuves,56.6,3.8,89,France
14,Terres,Terres 2021,2021,loire-valley,0,Domaine des Roches Neuves,56.6,3.8,89,France
15,M. de Malle Graves Blanc,M. de Malle Graves Blanc 2015,2015,graves,0,Château de Malle,56.7,4.0,139,France
16,Les Monts Damnés Sancerre,Les Monts Damnés Sancerre 2022,2022,sancerre,0,François Cotat,56.8,4.2,687,France
17,Les Terrasses de L'Empire Condrieu,Les Terrasses de L'Empire Condrieu 2020,2020,condrieu,0,Domaine Georges Vernay,56.8,4.2,2806,France
18,Condrieu Terroir D'Exception,Condrieu Terroir D'Exception 2020,2020,condrieu,0,Pierre Amadieu,56.9,4.4,26,France
19,Grain d'Emotion Condrieu,Grain d'Emotion Condrieu 2019,2019,condrieu,0,Domaine Guy Farge,56.9,3.9,170,France
20,Meursault 'Limozin',Meursault 'Limozin' 2002,2002,meursault,0,Domaine Buisson Battault,57.0,4.2,158,France
21,Meursault 'Le Limozin',Meursault 'Le Limozin' 2021,2021,meursault,0,Domaine Parigot,57.0,4.0,249,France
22,Chassagne-Montrachet,Chassagne-Montrachet 2021,2021,chassagne-montrachet,0,Thomas Morey,57.0,4.2,1552,France
23,Cuvée Confidentielle Bourgogne Chardonnay,Cuvée Confidentielle Bourgogne Chardonnay 2021,2021,bourgogne,0,Domaine Thiriet,56.2,4.2,186,France
24,Vieilles Vignes Chassagne-Montrachet 1er Cru 'La Grande Montagne',Vieilles Vignes Chassagne-Montrachet 1er Cru 'La Grande Montagne' 2020,2020,chassagne-montrachet-la-grande-montagne,0,Domaine Bachelet-Ramonet,57.0,4.3,221,France
25,Clos du Papillon Savennières,Clos du Papillon Savennières 2008,2008,savennieres,0,Domaine du Closel - Château des Vaults,56.0,4.1,1479,France
26,Te Koko Sauvignon Blanc,Te Koko Sauvignon Blanc 2020,2020,marlborough,0,Cloudy Bay,56.0,4.2,9592,New Zealand
27,Rully 1er Cru 'Rabourcé',Rully 1er Cru 'Rabourcé' 2020,2020,rully-rabource,0,Domaine A. et P. de Villaine,56.0,4.4,181,France
28,Rully 1er Cru 'Cloux',Rully 1er Cru 'Cloux' 2020,2020,rully-cloux,0,Domaine A. et P. de Villaine,56.0,4.3,58,France
29,La Grande Côte Sancerre,La Grande Côte Sancerre 2022,2022,sancerre,0,François Cotat,56.0,4.3,984,France
30,Mercurey Les Vignes de Maillonge Blanc,Mercurey Les Vignes de Maillonge Blanc 2016,2016,mercurey,0,Michel Juillot,56.0,4.1,992,France
31,Rully 1er Cru Les Margotés,Rully 1er Cru Les Margotés 2020,2020,rully-margotes,0,Domaine A. et P. de Villaine,56.0,4.2,435,France
32,Zitelle Barchetta,Zitelle Barchetta 2020,2020,friuli-venezia-giulia,0,Meroi,56.1,4.1,92,Italia
33,Zitelle Casa Rossa,Zitelle Casa Rossa 2020,2020,colli-orientali-del-friuli,0,Meroi,56.1,0.0,0,Italia
34,Pratum,Pratum 2014,2014,alto-adige,0,Castel Sallegg,56.1,3.8,179,Italia
35,Asphodill Kallmuth GG Silvaner,Asphodill Kallmuth GG Silvaner 2016,2016,franken,0,Fürst Löwenstein,56.38,0.0,0,Deutschland
36,Chassagne-Montrachet,Chassagne-Montrachet 2020,2020,chassagne-montrachet,0,Bruno Colin,56.4,4.2,855,France
37,Derthona Montecitorio,Derthona Montecitorio 2020,2020,piedmont,0,Vigneti Massa,56.58,4.1,1335,Italia
38,Terres,Terres 2020,2020,loire-valley,0,Domaine des Roches Neuves,56.6,3.8,89,France
39,Terres,Terres 2021,2021,loire-valley,0,Domaine des Roches Neuves,56.6,3.8,89,France
40,M. de Malle Graves Blanc,M. de Malle Graves Blanc 2015,2015,graves,0,Château de Malle,56.7,4.0,139,France
41,Les Monts Damnés Sancerre,Les Monts Damnés Sancerre 2022,2022,sancerre,0,François Cotat,56.8,4.2,687,France
42,Les Terrasses de L'Empire Condrieu,Les Terrasses de L'Empire Condrieu 2020,2020,condrieu,0,Domaine Georges Vernay,56.8,4.2,2806,France
43,Condrieu Terroir D'Exception,Condrieu Terroir D'Exception 2020,2020,condrieu,0,Pierre Amadieu,56.9,4.4,26,France
44,Grain d'Emotion Condrieu,Grain d'Emotion Condrieu 2019,2019,condrieu,0,Domaine Guy Farge,56.9,3.9,170,France
45,Meursault 'Limozin',Meursault 'Limozin' 2002,2002,meursault,0,Domaine Buisson Battault,57.0,4.2,158,France
46,Meursault 'Le Limozin',Meursault 'Le Limozin' 2021,2021,meursault,0,Domaine Parigot,57.0,4.0,249,France
47,Chassagne-Montrachet,Chassagne-Montrachet 2021,2021,chassagne-montrachet,0,Thomas Morey,57.0,4.2,1552,France
48,Cuvée Confidentielle Bourgogne Chardonnay,Cuvée Confidentielle Bourgogne Chardonnay 2021,2021,bourgogne,0,Domaine Thiriet,56.2,4.2,186,France
49,Vieilles Vignes Chassagne-Montrachet 1er Cru 'La Grande Montagne',Vieilles Vignes Chassagne-Montrachet 1er Cru 'La Grande Montagne' 2020,2020,chassagne-montrachet-la-grande-montagne,0,Domaine Bachelet-Ramonet,57.0,4.3,221,France
50,Clos du Papillon Savennières,Clos du Papillon Savennières 2008,2008,savennieres,0,Domaine du Closel - Château des Vaults,56.0,4.1,1479,France
51,Te Koko Sauvignon Blanc,Te Koko Sauvignon Blanc 2020,2020,marlborough,0,Cloudy Bay,56.0,4.2,9592,New Zealand
52,Rully 1er Cru 'Rabourcé',Rully 1er Cru 'Rabourcé' 2020,2020,rully-rabource,0,Domaine A. et P. de Villaine,56.0,4.4,181,France
53,Rully 1er Cru 'Cloux',Rully 1er Cru 'Cloux' 2020,2020,rully-cloux,0,Domaine A. et P. de Villaine,56.0,4.3,58,France
54,La Grande Côte Sancerre,La Grande Côte Sancerre 2022,2022,sancerre,0,François Cotat,56.0,4.3,984,France
55,Mercurey Les Vignes de Maillonge Blanc,Mercurey Les Vignes de Maillonge Blanc 2016,2016,mercurey,0,Michel Juillot,56.0,4.1,992,France
56,Rully 1er Cru Les Margotés,Rully 1er Cru Les Margotés 2020,2020,rully-margotes,0,Domaine A. et P. de Villaine,56.0,4.2,435,France
57,Zitelle Barchetta,Zitelle Barchetta 2020,2020,friuli-venezia-giulia,0,Meroi,56.1,4.1,92,Italia
58,Zitelle Casa Rossa,Zitelle Casa Rossa 2020,2020,colli-orientali-del-friuli,0,Meroi,56.1,0.0,0,Italia
59,Pratum,Pratum 2014,2014,alto-adige,0,Castel Sallegg,56.1,3.8,179,Italia
60,Asphodill Kallmuth GG Silvaner,Asphodill Kallmuth GG Silvaner 2016,2016,franken,0,Fürst Löwenstein,56.38,0.0,0,Deutschland
61,Chassagne-Montrachet,Chassagne-Montrachet 2020,2020,chassagne-montrachet,0,Bruno Colin,56.4,4.2,855,France
62,Derthona Montecitorio,Derthona Montecitorio 2020,2020,piedmont,0,Vigneti Massa,56.58,4.1,1335,Italia
63,Terres,Terres 2020,2020,loire-valley,0,Domaine des Roches Neuves,56.6,3.8,89,France
64,Terres,Terres 2021,2021,loire-valley,0,Domaine des Roches Neuves,56.6,3.8,89,France
65,M. de Malle Graves Blanc,M. de Malle Graves Blanc 2015,2015,graves,0,Château de Malle,56.7,4.0,139,France
66,Les Monts Damnés Sancerre,Les Monts Damnés Sancerre 2022,2022,sancerre,0,François Cotat,56.8,4.2,687,France
67,Les Terrasses de L'Empire Condrieu,Les Terrasses de L'Empire Condrieu 2020,2020,condrieu,0,Domaine Georges Vernay,56.8,4.2,2806,France
68,Condrieu Terroir D'Exception,Condrieu Terroir D'Exception 2020,2020,condrieu,0,Pierre Amadieu,56.9,4.4,26,France
69,Grain d'Emotion Condrieu,Grain d'Emotion Condrieu 2019,2019,condrieu,0,Domaine Guy Farge,56.9,3.9,170,France
70,Meursault 'Limozin',Meursault 'Limozin' 2002,2002,meursault,0,Domaine Buisson Battault,57.0,4.2,158,France
71,Meursault 'Le Limozin',Meursault 'Le Limozin' 2021,2021,meursault,0,Domaine Parigot,57.0,4.0,249,France
72,Chassagne-Montrachet,Chassagne-Montrachet 2021,2021,chassagne-montrachet,0,Thomas Morey,57.0,4.2,1552,France
73,Cuvée Confidentielle Bourgogne Chardonnay,Cuvée Confidentielle Bourgogne Chardonnay 2021,2021,bourgogne,0,Domaine Thiriet,56.2,4.2,186,France
74,Vieilles Vignes Chassagne-Montrachet 1er Cru 'La Grande Montagne',Vieilles Vignes Chassagne-Montrachet 1er Cru 'La Grande Montagne' 2020,2020,chassagne-montrachet-la-grande-montagne,0,Domaine Bachelet-Ramonet,57.0,4.3,221,France
75,Clos du Papillon Savennières,Clos du Papillon Savennières 2008,2008,savennieres,0,Domaine du Closel - Château des Vaults,56.0,4.1,1479,France
76,Te Koko Sauvignon Blanc,Te Koko Sauvignon Blanc 2020,2020,marlborough,0,Cloudy Bay,56.0,4.2,9592,New Zealand
77,Rully 1er Cru 'Rabourcé',Rully 1er Cru 'Rabourcé' 2020,2020,rully-rabource,0,Domaine A. et P. de Villaine,56.0,4.4,181,France
78,Rully 1er Cru 'Cloux',Rully 1er Cru 'Cloux' 2020,2020,rully-cloux,0,Domaine A. et P. de Villaine,56.0,4.3,58,France
79,La Grande Côte Sancerre,La Grande Côte Sancerre 2022,2022,sancerre,0,François Cotat,56.0,4.3,984,France
80,Mercurey Les Vignes de Maillonge Blanc,Mercurey Les Vignes de Maillonge Blanc 2016,2016,mercurey,0,Michel Juillot,56.0,4.1,992,France
81,Rully 1er Cru Les Margotés,Rully 1er Cru Les Margotés 2020,2020,rully-margotes,0,Domaine A. et P. de Villaine,56.0,4.2,435,France
82,Zitelle Barchetta,Zitelle Barchetta 2020,2020,friuli-venezia-giulia,0,Meroi,56.1,4.1,92,Italia
83,Zitelle Casa Rossa,Zitelle Casa Rossa 2020,2020,colli-orientali-del-friuli,0,Meroi,56.1,0.0,0,Italia
84,Pratum,Pratum 2014,2014,alto-adige,0,Castel Sallegg,56.1,3.8,179,Italia
85,Asphodill Kallmuth GG Silvaner,Asphodill Kallmuth GG Silvaner 2016,2016,franken,0,Fürst Löwenstein,56.38,0.0,0,Deutschland
86,Chassagne-Montrachet,Chassagne-Montrachet 2020,2020,chassagne-montrachet,0,Bruno Colin,56.4,4.2,855,France
87,Derthona Montecitorio,Derthona Montecitorio 2020,2020,piedmont,0,Vigneti Massa,56.58,4.1,1335,Italia
88,Terres,Terres 2020,2020,loire-valley,0,Domaine des Roches Neuves,56.6,3.8,89,France
89,Terres,Terres 2021,2021,loire-valley,0,Domaine des Roches Neuves,56.6,3.8,89,France
90,M. de Malle Graves Blanc,M. de Malle Graves Blanc 2015,2015,graves,0,Château de Malle,56.7,4.0,139,France
91,Les Monts Damnés Sancerre,Les Monts Damnés Sancerre 2022,2022,sancerre,0,François Cotat,56.8,4.2,687,France
92,Les Terrasses de L'Empire Condrieu,Les Terrasses de L'Empire Condrieu 2020,2020,condrieu,0,Domaine Georges Vernay,56.8,4.2,2806,France
93,Condrieu Terroir D'Exception,Condrieu Terroir D'Exception 2020,2020,condrieu,0,Pierre Amadieu,56.9,4.4,26,France
94,Grain d'Emotion Condrieu,Grain d'Emotion Condrieu 2019,2019,condrieu,0,Domaine Guy Farge,56.9,3.9,170,France
95,Meursault 'Limozin',Meursault 'Limozin' 2002,2002,meursault,0,Domaine Buisson Battault,57.0,4.2,158,France
96,Meursault 'Le Limozin',Meursault 'Le Limozin' 2021,2021,meursault,0,Domaine Parigot,57.0,4.0,249,France
97,Chassagne-Montrachet,Chassagne-Montrachet 2021,2021,chassagne-montrachet,0,Thomas Morey,57.0,4.2,1552,France
98,Cuvée Confidentielle Bourgogne Chardonnay,Cuvée Confidentielle Bourgogne Chardonnay 2021,2021,bourgogne,0,Domaine Thiriet,56.2,4.2,186,France
99,Vieilles Vignes Chassagne-Montrachet 1er Cru 'La Grande Montagne',Vieilles Vignes Chassagne-Montrachet 1er Cru 'La Grande Montagne' 2020,2020,chassagne-montrachet-la-grande-montagne,0,Domaine Bachelet-Ramonet,57.0,4.3,221,France
100,Clos du Papillon Savennières,Clos du Papillon Savennières 2008,2008,savennieres,0,Domaine du Closel - Château des Vaults,56.0,4.1,1479,France
