,wine brand name,wine name,year,region,type,winery,price,rating,no. ratings,country
0,Héritage Chablis Premier Cru 'Fourchaume',Héritage Chablis Premier Cru 'Fourchaume' 2015,2015,chablis-fourchaume,0,Le Domaine d'Henri,52.0,4.3,100,France
1,Condrieu Les Mandouls,Condrieu Les Mandouls 2018,2018,condrieu,0,Ferraton Père & Fils,52.0,3.9,441,France
2,Chardonnay Limoux Aigle Royal ,Chardonnay Limoux Aigle Royal  2020,2020,limoux,0,Gérard Bertrand,52.0,4.2,650,France
3,Haute Densité Pouilly-Fumé,Haute Densité Pouilly-Fumé 2019,2019,pouilly-fume,0,Château de Tracy,52.0,4.2,771,France
4,Condrieu Les Mandouls,Condrieu Les Mandouls 2021,2021,condrieu,0,Ferraton Père & Fils,52.0,3.9,441,France
5,Chassagne-Montrachet Blanc,Chassagne-Montrachet Blanc 2016,2016,chassagne-montrachet,0,Michel Picard,52.0,3.7,30,France
6,Collection Beaune Clos des Renardes Chardonnay,Collection Beaune Clos des Renardes Chardonnay 2021,2021,beaune,0,Fanny Sabre,52.0,4.1,263,France
7,Les Vieux Clos,Les Vieux Clos 2019,2019,savennieres,0,Nicolas Joly,52.0,4.0,4954,France
8,Sauvignon Blanc,Sauvignon Blanc 2021,2021,marlborough,0,Greywacke,52.0,4.1,13740,New Zealand
9,Lune d'Or,Lune d'Or 2012,2012,bordeaux,0,Clos des Lunes,52.0,3.8,469,France
10,Vigna di Milo Carricante,Vigna di Milo Carricante 2020,2020,sicilia,0,I Vigneri,52.08,3.7,56,Italia
11,Anadûron Riesling,Anadûron Riesling 2018,2018,alto-adige,0,Falkenstein,52.08,0.0,0,Italia
12,Wachenheimer Gerümpel P.C,Wachenheimer Gerümpel P.C 2021,2021,pfalz,0,Dr. Bürklin-Wolf,52.08,4.0,910,Deutschland
13,Wachenheimer Böhlig P.C,Wachenheimer Böhlig P.C 2021,2021,pfalz,0,Dr. Bürklin-Wolf,52.08,4.0,686,Deutschland
14,Nekaj,Nekaj 2016,2016,venezia-giulia,0,Damijan Podversic,52.5,4.1,1699,Italia
15,Vau Ligneau Chablis Premier Cru,Vau Ligneau Chablis Premier Cru 2015,2015,chablis-vau-ligneau,0,Domaine Hamelin,52.5,4.2,1428,France
16,Ribolla Gialla,Ribolla Gialla 2016,2016,venezia-giulia,0,Damijan Podversic,52.5,4.1,3739,Italia
17,Meursault,Meursault 2020,2020,meursault,0,Louis Jadot,52.5,4.2,6320,France
18,Meursault Blanc,Meursault Blanc 2020,2020,meursault,0,Bouchard Père & Fils,52.5,4.0,730,France
19,Mercurey 1er Cru Le Clos l'Evêque Monopole Blanc,Mercurey 1er Cru Le Clos l'Evêque Monopole Blanc 2020,2020,mercurey-le-clos-l-eveque,0,Château d'Etroyes,52.7,4.1,30,France
20,Collio Friulano,Collio Friulano 2021,2021,collio-goriziano,0,Borgo del Tiglio,52.8,4.0,436,Italia
21,Collio Sauvignon,Collio Sauvignon 2021,2021,collio-goriziano,0,Borgo del Tiglio,52.8,4.1,448,Italia
22,Les Ruchons Sancerre Blanc,Les Ruchons Sancerre Blanc 2016,2016,sancerre,0,Henri Bourgeois,52.8,4.4,275,France
23,Sancerre Le Cotelin,Sancerre Le Cotelin 2016,2016,sancerre,0,Henri Bourgeois,52.8,4.1,81,France
24,Pouilly-Fuissé 'Sur La Roche',Pouilly-Fuissé 'Sur La Roche' 2019,2019,pouilly-fuisse,0,Eve & Michel Rey,52.8,4.0,108,France
25,Héritage Chablis Premier Cru 'Fourchaume',Héritage Chablis Premier Cru 'Fourchaume' 2015,2015,chablis-fourchaume,0,Le Domaine d'Henri,52.0,4.3,100,France
26,Condrieu Les Mandouls,Condrieu Les Mandouls 2018,2018,condrieu,0,Ferraton Père & Fils,52.0,3.9,441,France
27,Chardonnay Limoux Aigle Royal ,Chardonnay Limoux Aigle Royal  2020,2020,limoux,0,Gérard Bertrand,52.0,4.2,650,France
28,Haute Densité Pouilly-Fumé,Haute Densité Pouilly-Fumé 2019,2019,pouilly-fume,0,Château de Tracy,52.0,4.2,771,France
29,Condrieu Les Mandouls,Condrieu Les Mandouls 2021,2021,condrieu,0,Ferraton Père & Fils,52.0,3.9,441,France
30,Chassagne-Montrachet Blanc,Chassagne-Montrachet Blanc 2016,2016,chassagne-montrachet,0,Michel Picard,52.0,3.7,30,France
31,Collection Beaune Clos des Renardes Chardonnay,Collection Beaune Clos des Renardes Chardonnay 2021,2021,beaune,0,Fanny Sabre,52.0,4.1,263,France
32,Les Vieux Clos,Les Vieux Clos 2019,2019,savennieres,0,Nicolas Joly,52.0,4.0,4954,France
33,Sauvignon Blanc,Sauvignon Blanc 2021,2021,marlborough,0,Greywacke,52.0,4.1,13740,New Zealand
34,Lune d'Or,Lune d'Or 2012,2012,bordeaux,0,Clos des Lunes,52.0,3.8,469,France
35,Vigna di Milo Carricante,Vigna di Milo Carricante 2020,2020,sicilia,0,I Vigneri,52.08,3.7,56,Italia
36,Anadûron Riesling,Anadûron Riesling 2018,2018,alto-adige,0,Falkenstein,52.08,0.0,0,Italia
