,wine brand name,wine name,year,region,type,winery,price,rating,no. ratings
648,Rose et Or,Rose et Or 2021,2021,Côtes de Provence,0,Minuty,26.7,4.3,8458
649,Aurélia Rosé,Aurélia Rosé 2020,2020,Côtes de Provence,0,Le Grand Cros,26.95,3.8,81
650,Rosato,Rosato 2018,2018,De Etna,0,Crasà - SRC,26.98,3.7,221
651,60 Sessantanni Rosé,60 Sessantanni Rosé 2021,2021,Salento,0,San Marzano,26.98,4.1,65
652,Tibouren Tradition Rosé,Tibouren Tradition Rosé 2020,2020,Côtes de Provence,0,Clos Cibonne,27.0,4.2,4380
653,Le Rosé x Giscours,Le Rosé x Giscours 2021,2021,Bordeaux,0,Château Giscours,27.0,3.6,674
654,Cuvée Madeleine Rosé,Cuvée Madeleine Rosé 2021,2021,Côtes du Rhône,0,Maison Rivier,27.6,4.1,30
655,Sancerre Les Baronnes Rosé,Sancerre Les Baronnes Rosé 2022,2022,Sancerre,0,Henri Bourgeois,27.8,3.9,1908
656,Excellence Grenache Rosé,Excellence Grenache Rosé 2021,2021,Pays d'Oc,0,Vignerons de la Méditerranée,27.9,3.5,276
657,Sofia Rosé,Sofia Rosé 2017,2017,Monterey County,0,Francis Ford Coppola Winery,27.9,3.7,7084
658,Château Romassan Rosé (Coeur de Grain),Château Romassan Rosé (Coeur de Grain) 2020,2020,Bandol,0,Domaines Ott,27.9,4.2,6735
659,Signature Rosé,Signature Rosé 2021,2021,Provence,0,Château Pigoudet,27.95,4.3,139
660,Etna Rosato,Etna Rosato 2019,2019,De Etna,0,Tenuta delle Terre Nere,28.48,3.9,2525
661,Dolce & Gabbana Rosa,Dolce & Gabbana Rosa 2020,2020,Sicilia,0,Donnafugata,28.5,4.2,1075
662,Collequinto Rosato,Collequinto Rosato 2022,2022,Tintilia del molise,0,Claudio Cipressi,28.6,3.7,157
663,Rock Angel Rosé,Rock Angel Rosé 2020,2020,Côtes de Provence,0,Château d'Esclans,28.8,4.2,6103
664,Valle di Nero Rosé,Valle di Nero Rosé 2020,2020,Vin de France,0,Abbatucci,28.9,4.0,32
665,Bandol Rosé,Bandol Rosé 2022,2022,Bandol,0,Domaine Tempier,28.9,4.2,6253
666,Grayasusi Etichetta Argento Rosato,Grayasusi Etichetta Argento Rosato 2022,2022,Val di Neto,0,Ceraudo,29.08,4.0,761
667,Magia di Rosa,Magia di Rosa 2022,2022,Colline di Levanto,0,Cà du Ferrà,29.28,3.9,44
668,Fantastique Rosé,Fantastique Rosé 2022,2022,Côtes de Provence,0,Château Sainte Marguerite,29.5,4.3,274
669,Château de Selle Rosé (Coeur de Grain),Château de Selle Rosé (Coeur de Grain) 2021,2021,Côtes de Provence,0,Domaines Ott,29.6,4.3,6398
670,Etna Rosato,Etna Rosato 2022,2022,De Etna,0,Girolamo Russo,29.7,3.9,1191
671,Cuvée Prestige Caroline Rosé,Cuvée Prestige Caroline Rosé 2021,2021,Côtes de Provence,0,Clos Cibonne,29.9,4.2,855
672,Château Romassan Rosé (Coeur de Grain),Château Romassan Rosé (Coeur de Grain) 2022,2022,Bandol,0,Domaines Ott,29.9,4.2,6735
673,Le Rosé x Giscours,Le Rosé x Giscours 2022,2022,Bordeaux,0,Château Giscours,29.9,3.6,674
674,Fantastique Rosé,Fantastique Rosé 2021,2021,Côtes de Provence,0,Château Sainte Marguerite,29.95,4.3,274
675,Sancerre Grande Cuvée Rosé,Sancerre Grande Cuvée Rosé 2022,2022,Sancerre,0,Comte Lafond,30.9,4.2,81
676,Rosé,Rosé 2020,2020,Côtes de Provence,0,Château d'Esclans,31.25,4.1,2567
677,Rosé,Rosé 2021,2021,Côtes de Provence,0,Château d'Esclans,31.3,4.1,2567
678,Etna Rosato,Etna Rosato 2021,2021,De Etna,0,Tenuta delle Terre Nere,31.5,3.9,2525
679,La Chapelle Rosé,La Chapelle Rosé 2018,2018,Bellet,0,Château de Bellet,32.0,3.7,78
680,Corail Côtes du Jura,Corail Côtes du Jura 2017,2017,Côtes du Jura,0,Château d'Arlay,32.78,3.8,1158
681,Bandol Rosé,Bandol Rosé 2021,2021,Bandol,0,Domaine Tempier,32.95,4.2,6253
682,Cuvée des Commandeurs Côtes de Provence Rosé,Cuvée des Commandeurs Côtes de Provence Rosé 2021,2021,Côtes de Provence,0,Peyrassol,33.18,4.0,3686
683,Florence Pinotage Rosé,Florence Pinotage Rosé 2020,2020,Stellenbosch,0,Aaldering,33.98,3.9,145
684,Dolce & Gabbana Rosa,Dolce & Gabbana Rosa 2022,2022,Sicilia,0,Donnafugata,33.98,4.2,1075
685,Pinot Rosé,Pinot Rosé 2022,2022,Südtirol - Alto Adige,0,Stroblhof,34.1,3.6,83
686,Susucaru Rosato,Susucaru Rosato 2022,2022,Terre Siciliane,0,Frank Cornelissen,34.88,4.1,9926
687,Cuvée Prestige Caroline Rosé,Cuvée Prestige Caroline Rosé 2020,2020,Côtes de Provence,0,Clos Cibonne,35.0,4.2,855
688,Cuvée du Bȃtonnier,Cuvée du Bȃtonnier 2021,2021,Alpilles,0,Domaine de Valdition,35.4,4.0,276
689,Molmenti,Molmenti 2018,2018,Lombardije,0,Costaripa,35.78,4.1,458
690,Château de Selle Rosé (Coeur de Grain),Château de Selle Rosé (Coeur de Grain) 2022,2022,Côtes de Provence,0,Domaines Ott,35.9,4.3,6398
691,Fieno di Ponza Rosato,Fieno di Ponza Rosato 2022,2022,Lazio,0,Antiche Cantine Migliaccio,35.9,4.0,66
692,Rosé de Gimios,Rosé de Gimios 2019,2019,Vin de France,0,Le Petit Domaine de Gimios,38.58,4.2,410
693,Sancerre Rosé,Sancerre Rosé 2022,2022,Sancerre,0,Pascal Jolivet,38.9,4.1,1586
694,Bandol Rosé,Bandol Rosé 2015,2015,Bandol,0,Domaine de la Tour du Bon,39.0,3.9,1572
695,Palette Rose,Palette Rose 2021,2021,Palette,0,Château Simone,39.0,4.2,1273
696,Aqua di Venus Toscana,Aqua di Venus Toscana 2021,2021,Toscane,0,Ruffino,39.5,3.9,1056
697,Etna Rosato,Etna Rosato 2019,2019,De Etna,0,Graci,40.38,3.9,1135
698,Pétale de Rosé,Pétale de Rosé 2019,2019,Côtes de Provence,0,Château Barbeyrolles,40.48,4.2,1184
699,Pétale de Rosé,Pétale de Rosé 2020,2020,Côtes de Provence,0,Château Barbeyrolles,40.98,4.2,1184
700,Vinudilice,Vinudilice 2020,2020,De Etna,0,I Vigneri,41.98,3.9,555
701,281,281 2021,2021,Côtes de Provence,0,Minuty,42.0,4.4,2079
702,Pétale de Rosé,Pétale de Rosé 2021,2021,Côtes de Provence,0,Château Barbeyrolles,42.08,4.2,1184
703,Vina Pilar Clarete,Vina Pilar Clarete 2020,2020,Ribera del Duero,0,Callejo,42.68,3.9,43
704,Molmenti,Molmenti 2017,2017,Lombardije,0,Costaripa,42.9,4.1,458
