,wine brand name,wine name,year,region,type,winery,price,rating,no. ratings,country
0,Gewürztraminer,Gewürztraminer 2018,2018,alsace,0,Vincent Stoeffler,30,3.9,170,France
1,Gewürztraminer,Gewürztraminer 2008,2008,alsace,0,Andre Kientzler,30,3.7,314,France
2,Marsanne Saint-Péray,Marsanne Saint-Péray 2021,2021,saint-peray,0,Domaine du Tunnel,30,4.0,305,France
3,Gewürztraminer Les Treilles du Loup,Gewürztraminer Les Treilles du Loup 2020,2020,alsace,0,Domaine Weinbach,30,4.1,192,France
4,Déclinaison,Déclinaison 2021,2021,vin-de-pays-de-latlantique,0,Domaine de l'Alliance,30,4.0,63,France
5,Bourgogne Aligoté,Bourgogne Aligoté 2020,2020,bourgogne-aligote,0,Comte Armand,30,4.0,496,France
6,Pessac-Léognan Blanc,Pessac-Léognan Blanc 2017,2017,pessac-leognan,0,Château Brown,30,4.0,868,France
7,Nuance Sancerre,Nuance Sancerre 2020,2020,sancerre,0,Vincent Pinard,30,3.9,893,France
8,Rully 1er Cru 'Meix Cadot',Rully 1er Cru 'Meix Cadot' 2020,2020,rully-le-meix-cadot,0,Domaine Jacques Dury,30,4.2,612,France
9,Chignin Bergeron Cuvée Raipoumpou,Chignin Bergeron Cuvée Raipoumpou 2021,2021,savoie,0,Domaine du Cellier des Cray,30,4.0,228,France
10,Pessac-Léognan Blanc,Pessac-Léognan Blanc 2019,2019,pessac-leognan,0,Château Picque Caillou,30,3.7,294,France
11,Chablis Premier Cru 'Vosgros',Chablis Premier Cru 'Vosgros' 2021,2021,chablis-vosgros,0,Domaine des Trois V,30,0.0,0,France
12,Bourgogne Aligoté,Bourgogne Aligoté 2017,2017,bourgogne-aligote,0,Bruno Colin,30,3.7,91,France
13,Saumur 'Les Salles Martin',Saumur 'Les Salles Martin' 2020,2020,saumur,0,Antoine Sanzay,30,3.9,475,France
14,Vieilles Vignes Pouilly-Fuissé,Vieilles Vignes Pouilly-Fuissé 2021,2021,pouilly-fuisse,0,Christophe Cordier,30,4.0,482,France
