,wine brand name,wine name,year,region,type,winery,price,rating,no. ratings
0,Sauvignon,Sauvignon 2018,2018,Friuli Isonzo,0,Luisa,18.7,3.8,808
1,Gewürztraminer,Gewürztraminer 2018,2018,Trentino-Zuid-Tirol,0,RF Selection Roberto Ferrari,18.7,4.1,47
2,Tralivio,Tralivio 2016,2016,Verdicchio dei Castelli di Jesi,0,Sartarelli,18.7,3.7,1888
3,Aimè Gewürztraminer,Aimè Gewürztraminer 2020,2020,Südtirol - Alto Adige,0,Girlan,18.7,4.0,1901
4,Les Genêts,Les Genêts 2022,2022,Provence,0,Château de Roquefort,18.7,3.8,500
5,Cuvée Terlaner (Classico),Cuvée Terlaner (Classico) 2015,2015,Südtirol - Alto Adige,0,Terlan (Terlano),18.7,3.9,12867
6,Magred Chardonnay,Magred Chardonnay 2015,2015,Südtirol - Alto Adige,0,Nals Margreid,18.7,3.8,632
7,Cosmas Sauvignon Blanc,Cosmas Sauvignon Blanc 2016,2016,Südtirol - Alto Adige,0,Kornell,18.7,4.1,1207
8,Palai Müller Thurgau Dolomiti,Palai Müller Thurgau Dolomiti 2019,2019,Vigneti delle Dolomiti,0,Pojer e Sandri,18.7,3.7,1447
9,Lugana Blanc,Lugana Blanc 2022,2022,Lugana,0,Ricchi,18.7,4.0,323
10,Nèstri Bianco,Nèstri Bianco 2021,2021,Colli Orientali del Friuli,0,Meroi,18.7,3.8,73
11,Eich Pinot Bianco,Eich Pinot Bianco 2021,2021,Südtirol - Alto Adige,0,Kornell,18.7,3.8,268
12,Vertigo Blanc,Vertigo Blanc 2020,2020,Côtes du Roussillon,0,Mas Amiel,18.7,3.6,435
13,Pessac-Léognan Blanc,Pessac-Léognan Blanc 2021,2021,Pessac-Léognan,0,Château d'Alix,18.7,3.9,637
14,Chantemerle,Chantemerle 2018,2018,Arbois,0,Jérôme Arnoux,18.7,3.9,668
15,Clisson,Clisson 2019,2019,Muscadet-Sevre et Maine,0,Pépière,18.7,3.9,1279
16,Pessac-Léognan Blanc,Pessac-Léognan Blanc 2020,2020,Pessac-Léognan,0,Château de Rochemorin,18.7,3.8,1329
17,Clos De La Brûlée Givry,Clos De La Brûlée Givry 2020,2020,Givry,0,Rene Bourgeon,18.7,3.8,183
18,Vom Lehm Gewürztraminer,Vom Lehm Gewürztraminer 2015,2015,Südtirol - Alto Adige,0,Castelfeder,18.7,3.9,1012
19,Chardonnay,Chardonnay 2016,2016,West-Kaap,0,Seven Springs Vineyards,18.74,3.8,134
20,Tenuta Guado al Tasso Vermentino Bolgheri,Tenuta Guado al Tasso Vermentino Bolgheri 2022,2022,Bolgheri,0,Antinori,18.78,3.9,19108
21,Ca'degli Olmi Derthona,Ca'degli Olmi Derthona 2021,2021,Colli Tortonesi,0,Canevaro Luca,18.78,3.9,206
22,Kerner,Kerner 2019,2019,Trento,0,Vindimian Rudi,18.78,3.6,101
23,Scabrezza,Scabrezza 2021,2021,Toscane,0,Tenuta Monteloro,18.78,3.7,615
24,Pas de la Colline Blanc,Pas de la Colline Blanc 2020,2020,Vin de France,0,Clos de la Molénie,18.8,3.9,32
25,Constitution Road Chardonnay,Constitution Road Chardonnay 2021,2021,Robertson,0,Robertson Winery,18.87,4.2,1640
26,Attente Chambave Muscat,Attente Chambave Muscat 2018,2018,Valle d’Aosta,0,La Crotta di Vegneron,18.88,3.9,234
27,Pinot Gris Valle d'Aosta,Pinot Gris Valle d'Aosta 2021,2021,Valle d’Aosta,0,Anselmet,18.88,3.7,207
28,Sauvignon Collio,Sauvignon Collio 2021,2021,Collio,0,Pighin,18.88,3.7,352
29,Riné Bianco,Riné Bianco 2020,2020,Benaco Bresciano,0,Cantrina,18.88,3.9,377
30,Bianchi Grilli Per la Testa Trebbiano d'Abruzzo,Bianchi Grilli Per la Testa Trebbiano d'Abruzzo 2021,2021,Trebbiano d'Abruzzo,0,Torre dei Beati,18.88,3.8,752
