,wine brand name,wine name,year,region,type,winery,price,rating,no. ratings,country
0,Etna Bianco,Etna Bianco 2014,2014,sicily,0,Benanti,77.0,3.8,2065,Italia
1,Pessac-Léognan Blanc (Grand Cru Classé de Graves),Pessac-Léognan Blanc (Grand Cru Classé de Graves) 2010,2010,pessac-leognan,0,Château Malartic-Lagravière,77.0,4.0,1912,France
2,Sancerre Les Baronnes Blanc,Sancerre Les Baronnes Blanc 2020,2020,sancerre,0,Henri Bourgeois,77.08,4.0,12736,France
3,Cembrani d'Autore Riesling,Cembrani d'Autore Riesling 2014,2014,trentino,0,Pelz,77.18,3.7,126,Italia
4,Collio Studio di Bianco,Collio Studio di Bianco 2020,2020,collio-goriziano,0,Borgo del Tiglio,77.48,3.9,220,Italia
5,Chassagne-Montrachet 1er Cru 'Champs-Gains' Blanc,Chassagne-Montrachet 1er Cru 'Champs-Gains' Blanc 2020,2020,chassagne-montrachet-les-champs-gains,0,Domaine Sylvain Morey,77.5,4.3,274,France
6,Les Ruchons Sancerre Blanc,Les Ruchons Sancerre Blanc 2015,2015,sancerre,0,Henri Bourgeois,77.58,4.4,275,France
7,Les Vieilles Roussanne Châteauneuf-du-Pape,Les Vieilles Roussanne Châteauneuf-du-Pape 2020,2020,chateauneuf-du-pape,0,Château de Vaudieu,77.6,4.3,147,France
8,Châteauneuf-du-Pape Blanc,Châteauneuf-du-Pape Blanc 2020,2020,chateauneuf-du-pape,0,Château de Vaudieu,77.6,4.1,570,France
9,Rossj-Bass Langhe,Rossj-Bass Langhe 2021,2021,langhe,0,Gaja,77.88,4.3,9918,Italia
10,La Grande Châtelaine Sancerre,La Grande Châtelaine Sancerre 2016,2016,sancerre,0,Joseph Mellot,77.98,4.2,1800,France
11,Puligny-Montrachet 1er Cru 'Les Folatières',Puligny-Montrachet 1er Cru 'Les Folatières' 2009,2009,puligny-montrachet-les-folatieres,0,Domaine Alain Chavy,78.0,4.3,1042,France
12,Chassagne-Montrachet,Chassagne-Montrachet 2017,2017,chassagne-montrachet,0,Château de La Maltroye,78.0,4.2,3429,France
13,Saint-Aubin 1er Cru 'Les Murgers des Dents de Chien',Saint-Aubin 1er Cru 'Les Murgers des Dents de Chien' 2019,2019,saint-aubin-les-murgers-des-dents-de-chien,0,Francois Carillon,78.0,4.2,394,France
14,Heytesbury Chardonnay,Heytesbury Chardonnay 2021,2021,margaret-river,0,Vasse Felix,78.0,4.2,2040,Australia
15,Cuvée des Pandorea Meursault,Cuvée des Pandorea Meursault 2017,2017,meursault,0,Laurent Ponsot,78.0,4.1,376,France
16,Kirchenstück GG,Kirchenstück GG 2013,2013,pfalz,0,Von Winning,78.0,4.4,648,Deutschland
17,Meursault 1er Cru 'Le Poruzot-Dessus',Meursault 1er Cru 'Le Poruzot-Dessus' 2012,2012,meursault-porusot,0,Rémi Jobard,77.0,4.2,938,France
18,Vinha Centenária Reserva Branco,Vinha Centenária Reserva Branco 2010,2010,douro,0,Dona Berta,77.86,4.3,379,Portugal
19,Cuvée Marguerite,Cuvée Marguerite 2020,2020,cotes-catalanes,0,Matassa,78.0,4.1,3047,France
20,Meursault 1er Cru 'Le Poruzot-Dessus',Meursault 1er Cru 'Le Poruzot-Dessus' 2013,2013,meursault-porusot,0,Rémi Jobard,77.0,4.2,938,France
21,Chassagne-Montrachet 1er Cru 'Les Baudines',Chassagne-Montrachet 1er Cru 'Les Baudines' 2020,2020,chassagne-montrachet-les-baudines,0,Thomas Morey,78.0,4.3,479,France
22,Puligny-Montrachet,Puligny-Montrachet 2015,2015,puligny-montrachet,0,Domaine Potinet-Ampeau,78.0,4.2,254,France
23,Monopole Meursault 'Clos de Meix Chavaux',Monopole Meursault 'Clos de Meix Chavaux' 2021,2021,meursault,0,Domaine François Gaunoux,77.0,4.1,650,France
24,Chablis Grand Cru 'Les Preuses',Chablis Grand Cru 'Les Preuses' 2009,2009,chablis-grand-cru-preuses,0,Domaine Servin,78.0,4.1,423,France
25,Etna Bianco,Etna Bianco 2014,2014,sicily,0,Benanti,77.0,3.8,2065,Italia
26,Pessac-Léognan Blanc (Grand Cru Classé de Graves),Pessac-Léognan Blanc (Grand Cru Classé de Graves) 2010,2010,pessac-leognan,0,Château Malartic-Lagravière,77.0,4.0,1912,France
