,wine brand name,wine name,year,region,type,winery,price,rating,no. ratings,country
0,J. Alberto,J. Alberto 2017,2017,rio-negro,0,Bodega Noemìa,52,4.1,4783,Argentina
1,Eureka T,Eureka T 2005,2005,tuscany,0,Roberto Cipresso,52,4.0,64,Italia
2,Les Premières Faugères,Les Premières Faugères 2014,2014,faugeres,0,Bardi d'Alquier,52,3.8,1009,France
3,Reservation Shiraz,Reservation Shiraz 2018,2018,barossa-valley,0,Chris Ringland,52,4.2,1507,Australia
4,Pomerol,Pomerol 2014,2014,pomerol,0,Château Saint-Pierre,52,4.0,1043,France
5,Cornas Lieu-Dit Les Eygats,Cornas Lieu-Dit Les Eygats 2020,2020,cornas,0,Ferraton Père & Fils,52,4.1,361,France
6,Margaux (Grand Cru Classé),Margaux (Grand Cru Classé) 2018,2018,margaux,0,Château Boyd-Cantenac,52,4.1,6541,France
7,Saint-Estèphe,Saint-Estèphe 2018,2018,saint-estephe,0,Château Phélan Ségur,52,4.1,25872,France
8,Saint-Émilion Grand Cru (Grand Cru Classé),Saint-Émilion Grand Cru (Grand Cru Classé) 2019,2019,st-emilion-grand-cru,0,Château Dassault,52,4.2,7564,France
9,Colli di Salerno Rosso,Colli di Salerno Rosso 2002,2002,colli-di-salerno,0,Montevetrano,52,4.2,5356,Italia
10,Tenuta Tignanello 'Marchese Antinori' Chianti Classico Riserva,Tenuta Tignanello 'Marchese Antinori' Chianti Classico Riserva 2017,2017,chianti-classico,0,Antinori,52,4.2,48018,Italia
11,Amarone della Valpolicella,Amarone della Valpolicella 2018,2018,amarone-della-valpolicella,0,Costa Arente,52,4.5,755,Italia
12,Gevrey-Chambertin,Gevrey-Chambertin 2013,2013,gevrey-chambertin,0,Château de Pommard,52,4.1,146,France
13,Rouge,Rouge 2016,2016,gard,0,Roc d'Anglade,52,4.0,2491,France
14,Beaune Premier Cru 'Les Grèves',Beaune Premier Cru 'Les Grèves' 2017,2017,beaune-les-greves,0,Edouard Delaunay,52,4.1,122,France
15,Vinsobres Les Hauts De Julien,Vinsobres Les Hauts De Julien 2020,2020,vinsobres,0,Famille Perrin,52,4.1,863,France
16,The Struie,The Struie 2019,2019,barossa-valley,0,Torbreck,52,4.2,7311,Australia
17,Croix de Beaucaillou Saint-Julien,Croix de Beaucaillou Saint-Julien 2017,2017,saint-julien,0,Château Ducru-Beaucaillou,52,4.2,12360,France
18,Clos du Marquis Saint-Julien,Clos du Marquis Saint-Julien 2017,2017,saint-julien,0,Château Léoville Las Cases,52,4.2,20731,France
19,Pomerol,Pomerol 2019,2019,pomerol,0,Château La Croix St. Georges,52,4.3,3341,France
20,Margaux (Grand Cru Classé),Margaux (Grand Cru Classé) 2016,2016,margaux,0,Château Ferrière,52,4.0,8904,France
21,Barolo,Barolo 2016,2016,barolo,0,Azelia,52,4.0,3070,Italia
22,Margaux (Grand Cru Classé),Margaux (Grand Cru Classé) 2017,2017,margaux,0,Château Malescot St. Exupery,52,4.2,16003,France
23,Margaux (Grand Cru Classé),Margaux (Grand Cru Classé) 2019,2019,margaux,0,Château Cantenac Brown,52,4.2,16875,France
24,Margaux (Grand Cru Classé),Margaux (Grand Cru Classé) 2018,2018,margaux,0,Château Kirwan,52,4.2,16814,France
25,J. Alberto,J. Alberto 2017,2017,rio-negro,0,Bodega Noemìa,52,4.1,4783,Argentina
26,Eureka T,Eureka T 2005,2005,tuscany,0,Roberto Cipresso,52,4.0,64,Italia
27,Reservation Shiraz,Reservation Shiraz 2018,2018,barossa-valley,0,Chris Ringland,52,4.2,1507,Australia
28,Les Premières Faugères,Les Premières Faugères 2014,2014,faugeres,0,Bardi d'Alquier,52,3.8,1009,France
29,Pomerol,Pomerol 2014,2014,pomerol,0,Château Saint-Pierre,52,4.0,1043,France
30,Cornas Lieu-Dit Les Eygats,Cornas Lieu-Dit Les Eygats 2020,2020,cornas,0,Ferraton Père & Fils,52,4.1,361,France
31,Saint-Émilion Grand Cru (Grand Cru Classé),Saint-Émilion Grand Cru (Grand Cru Classé) 2019,2019,st-emilion-grand-cru,0,Château Dassault,52,4.2,7564,France
32,Colli di Salerno Rosso,Colli di Salerno Rosso 2002,2002,colli-di-salerno,0,Montevetrano,52,4.2,5356,Italia
33,Margaux (Grand Cru Classé),Margaux (Grand Cru Classé) 2018,2018,margaux,0,Château Boyd-Cantenac,52,4.1,6541,France
34,Tenuta Tignanello 'Marchese Antinori' Chianti Classico Riserva,Tenuta Tignanello 'Marchese Antinori' Chianti Classico Riserva 2017,2017,chianti-classico,0,Antinori,52,4.2,48018,Italia
35,Saint-Estèphe,Saint-Estèphe 2018,2018,saint-estephe,0,Château Phélan Ségur,52,4.1,25872,France
36,Amarone della Valpolicella,Amarone della Valpolicella 2018,2018,amarone-della-valpolicella,0,Costa Arente,52,4.5,755,Italia
37,Gevrey-Chambertin,Gevrey-Chambertin 2013,2013,gevrey-chambertin,0,Château de Pommard,52,4.1,146,France
38,Beaune Premier Cru 'Les Grèves',Beaune Premier Cru 'Les Grèves' 2017,2017,beaune-les-greves,0,Edouard Delaunay,52,4.1,122,France
39,Rouge,Rouge 2016,2016,gard,0,Roc d'Anglade,52,4.0,2491,France
40,Vinsobres Les Hauts De Julien,Vinsobres Les Hauts De Julien 2020,2020,vinsobres,0,Famille Perrin,52,4.1,863,France
41,Clos du Marquis Saint-Julien,Clos du Marquis Saint-Julien 2017,2017,saint-julien,0,Château Léoville Las Cases,52,4.2,20731,France
42,Croix de Beaucaillou Saint-Julien,Croix de Beaucaillou Saint-Julien 2017,2017,saint-julien,0,Château Ducru-Beaucaillou,52,4.2,12360,France
43,Margaux (Grand Cru Classé),Margaux (Grand Cru Classé) 2016,2016,margaux,0,Château Ferrière,52,4.0,8904,France
44,Pomerol,Pomerol 2019,2019,pomerol,0,Château La Croix St. Georges,52,4.3,3341,France
45,The Struie,The Struie 2019,2019,barossa-valley,0,Torbreck,52,4.2,7311,Australia
46,Pessac-Léognan (Grand Cru Classé de Graves),Pessac-Léognan (Grand Cru Classé de Graves) 2018,2018,pessac-leognan,0,Château Malartic-Lagravière,52,4.2,14779,France
47,La Reine Des Bois Châteauneuf-du-Pape,La Reine Des Bois Châteauneuf-du-Pape 2019,2019,chateauneuf-du-pape,0,Domaine de la Mordorée,52,4.3,3191,France
48,Margaux (Grand Cru Classé),Margaux (Grand Cru Classé) 2018,2018,margaux,0,Château Kirwan,52,4.2,16814,France
49,Margaux (Grand Cru Classé),Margaux (Grand Cru Classé) 2013,2013,margaux,0,Château Malescot St. Exupery,52,4.2,16003,France
50,J. Alberto,J. Alberto 2017,2017,rio-negro,0,Bodega Noemìa,52,4.1,4783,Argentina
51,Eureka T,Eureka T 2005,2005,tuscany,0,Roberto Cipresso,52,4.0,64,Italia
52,Reservation Shiraz,Reservation Shiraz 2018,2018,barossa-valley,0,Chris Ringland,52,4.2,1507,Australia
53,Les Premières Faugères,Les Premières Faugères 2014,2014,faugeres,0,Bardi d'Alquier,52,3.8,1009,France
54,Pomerol,Pomerol 2014,2014,pomerol,0,Château Saint-Pierre,52,4.0,1043,France
55,Cornas Lieu-Dit Les Eygats,Cornas Lieu-Dit Les Eygats 2020,2020,cornas,0,Ferraton Père & Fils,52,4.1,361,France
56,Saint-Émilion Grand Cru (Grand Cru Classé),Saint-Émilion Grand Cru (Grand Cru Classé) 2019,2019,st-emilion-grand-cru,0,Château Dassault,52,4.2,7564,France
57,Colli di Salerno Rosso,Colli di Salerno Rosso 2002,2002,colli-di-salerno,0,Montevetrano,52,4.2,5356,Italia
58,Margaux (Grand Cru Classé),Margaux (Grand Cru Classé) 2018,2018,margaux,0,Château Boyd-Cantenac,52,4.1,6541,France
59,Tenuta Tignanello 'Marchese Antinori' Chianti Classico Riserva,Tenuta Tignanello 'Marchese Antinori' Chianti Classico Riserva 2017,2017,chianti-classico,0,Antinori,52,4.2,48018,Italia
60,Saint-Estèphe,Saint-Estèphe 2018,2018,saint-estephe,0,Château Phélan Ségur,52,4.1,25872,France
61,Amarone della Valpolicella,Amarone della Valpolicella 2018,2018,amarone-della-valpolicella,0,Costa Arente,52,4.5,755,Italia
62,Gevrey-Chambertin,Gevrey-Chambertin 2013,2013,gevrey-chambertin,0,Château de Pommard,52,4.1,146,France
63,Beaune Premier Cru 'Les Grèves',Beaune Premier Cru 'Les Grèves' 2017,2017,beaune-les-greves,0,Edouard Delaunay,52,4.1,122,France
64,Rouge,Rouge 2016,2016,gard,0,Roc d'Anglade,52,4.0,2491,France
65,Vinsobres Les Hauts De Julien,Vinsobres Les Hauts De Julien 2020,2020,vinsobres,0,Famille Perrin,52,4.1,863,France
66,Clos du Marquis Saint-Julien,Clos du Marquis Saint-Julien 2017,2017,saint-julien,0,Château Léoville Las Cases,52,4.2,20731,France
67,Croix de Beaucaillou Saint-Julien,Croix de Beaucaillou Saint-Julien 2017,2017,saint-julien,0,Château Ducru-Beaucaillou,52,4.2,12360,France
68,Margaux (Grand Cru Classé),Margaux (Grand Cru Classé) 2016,2016,margaux,0,Château Ferrière,52,4.0,8904,France
69,Pomerol,Pomerol 2019,2019,pomerol,0,Château La Croix St. Georges,52,4.3,3341,France
70,The Struie,The Struie 2019,2019,barossa-valley,0,Torbreck,52,4.2,7311,Australia
71,Pessac-Léognan (Grand Cru Classé de Graves),Pessac-Léognan (Grand Cru Classé de Graves) 2018,2018,pessac-leognan,0,Château Malartic-Lagravière,52,4.2,14779,France
72,La Reine Des Bois Châteauneuf-du-Pape,La Reine Des Bois Châteauneuf-du-Pape 2019,2019,chateauneuf-du-pape,0,Domaine de la Mordorée,52,4.3,3191,France
73,Margaux (Grand Cru Classé),Margaux (Grand Cru Classé) 2018,2018,margaux,0,Château Kirwan,52,4.2,16814,France
74,Margaux (Grand Cru Classé),Margaux (Grand Cru Classé) 2013,2013,margaux,0,Château Malescot St. Exupery,52,4.2,16003,France
75,J. Alberto,J. Alberto 2017,2017,rio-negro,0,Bodega Noemìa,52,4.1,4783,Argentina
76,Eureka T,Eureka T 2005,2005,tuscany,0,Roberto Cipresso,52,4.0,64,Italia
77,Reservation Shiraz,Reservation Shiraz 2018,2018,barossa-valley,0,Chris Ringland,52,4.2,1507,Australia
78,Les Premières Faugères,Les Premières Faugères 2014,2014,faugeres,0,Bardi d'Alquier,52,3.8,1009,France
79,Pomerol,Pomerol 2014,2014,pomerol,0,Château Saint-Pierre,52,4.0,1043,France
80,Cornas Lieu-Dit Les Eygats,Cornas Lieu-Dit Les Eygats 2020,2020,cornas,0,Ferraton Père & Fils,52,4.1,361,France
81,Saint-Émilion Grand Cru (Grand Cru Classé),Saint-Émilion Grand Cru (Grand Cru Classé) 2019,2019,st-emilion-grand-cru,0,Château Dassault,52,4.2,7564,France
82,Colli di Salerno Rosso,Colli di Salerno Rosso 2002,2002,colli-di-salerno,0,Montevetrano,52,4.2,5356,Italia
83,Margaux (Grand Cru Classé),Margaux (Grand Cru Classé) 2018,2018,margaux,0,Château Boyd-Cantenac,52,4.1,6541,France
84,Tenuta Tignanello 'Marchese Antinori' Chianti Classico Riserva,Tenuta Tignanello 'Marchese Antinori' Chianti Classico Riserva 2017,2017,chianti-classico,0,Antinori,52,4.2,48018,Italia
85,Saint-Estèphe,Saint-Estèphe 2018,2018,saint-estephe,0,Château Phélan Ségur,52,4.1,25872,France
86,Amarone della Valpolicella,Amarone della Valpolicella 2018,2018,amarone-della-valpolicella,0,Costa Arente,52,4.5,755,Italia
87,Gevrey-Chambertin,Gevrey-Chambertin 2013,2013,gevrey-chambertin,0,Château de Pommard,52,4.1,146,France
88,Rouge,Rouge 2016,2016,gard,0,Roc d'Anglade,52,4.0,2491,France
89,Beaune Premier Cru 'Les Grèves',Beaune Premier Cru 'Les Grèves' 2017,2017,beaune-les-greves,0,Edouard Delaunay,52,4.1,122,France
90,Vinsobres Les Hauts De Julien,Vinsobres Les Hauts De Julien 2020,2020,vinsobres,0,Famille Perrin,52,4.1,863,France
91,The Struie,The Struie 2019,2019,barossa-valley,0,Torbreck,52,4.2,7311,Australia
92,Croix de Beaucaillou Saint-Julien,Croix de Beaucaillou Saint-Julien 2017,2017,saint-julien,0,Château Ducru-Beaucaillou,52,4.2,12360,France
93,Clos du Marquis Saint-Julien,Clos du Marquis Saint-Julien 2017,2017,saint-julien,0,Château Léoville Las Cases,52,4.2,20731,France
