,wine brand name,wine name,year,region,type,winery,price,rating,no. ratings,country
0,Pessac-Léognan,Pessac-Léognan 1993,1993,pessac-leognan,0,Château Carbonnieux,69,4.0,15785,France
1,Oléa Côte-Rôtie,Oléa Côte-Rôtie 2017,2017,cote-rotie,0,Patrick Jasmin,69,4.4,84,France
2,Morey-Saint-Denis 1er Cru 'Les Millandes',Morey-Saint-Denis 1er Cru 'Les Millandes' 2013,2013,morey-saint-denis-les-milandes,0,Domaine Pierre Amiot et Fils,69,4.1,249,France
3,Beaune 1er Cru Clos des Ursules,Beaune 1er Cru Clos des Ursules 2013,2013,beaune-premier-cru,0,Domaine des Héritiers Louis Jadot,69,4.1,2261,France
4,La Roque Côtes du Roussillon Villages,La Roque Côtes du Roussillon Villages 2017,2017,cotes-du-roussillon-villages,0,Domaine Gauby,69,3.9,115,France
5,Nuits-Saint-Georges 'Les Fleurières',Nuits-Saint-Georges 'Les Fleurières' 2018,2018,nuits-saint-georges,0,Jean-Jacques Confuron,69,4.1,1363,France
6,Pomerol,Pomerol 2016,2016,pomerol,0,Château Beauregard,69,4.1,7808,France
7,Mes Favorites Vieilles Vignes Gevrey-Chambertin,Mes Favorites Vieilles Vignes Gevrey-Chambertin 2020,2020,gevrey-chambertin,0,Jean-Luc & Eric Burguet,69,4.2,3084,France
8,Pommard,Pommard 2019,2019,pommard,0,Joseph Drouhin,69,4.1,1446,France
9,Margaux (Grand Cru Classé),Margaux (Grand Cru Classé) 2014,2014,margaux,0,Château d'Issan,69,4.2,15805,France
10,Saint-Émilion Grand Cru (Grand Cru Classé),Saint-Émilion Grand Cru (Grand Cru Classé) 2016,2016,st-emilion-grand-cru,0,Château La Dominique,69,4.1,10721,France
11,Aigle Noir Pinot Noir,Aigle Noir Pinot Noir 2015,2015,vin-de-pays-doc,0,Gérard Bertrand,69,3.4,1742,France
12,Pommard 1er Cru 'Les Charmots',Pommard 1er Cru 'Les Charmots' 2020,2020,les-charmots,0,Domaine Parigot,69,4.2,294,France
13,Ladoix Les Briquottes,Ladoix Les Briquottes 1985,1985,ladoix,0,Domaine Perrin,69,4.0,190,France
14,Contre Couleur,Contre Couleur 2017,2017,cotes-du-rhone,0,Gramenon,69,3.8,95,France
15,Les Durots Meursault,Les Durots Meursault 2003,2003,meursault,0,Pierre Morey,69,4.0,213,France
16,Madiran,Madiran 2005,2005,madiran,0,Château Bouscassé,69,3.8,17186,France
17,Pauillac,Pauillac 2006,2006,pauillac,0,Château Fonbadet,69,3.9,3318,France
18,Margaux (Grand Cru Classé),Margaux (Grand Cru Classé) 2011,2011,margaux,0,Château Boyd-Cantenac,69,4.1,6541,France
19,Coteaux Du Languedoc La Clape L'Hospitalitas,Coteaux Du Languedoc La Clape L'Hospitalitas 2020,2020,languedoc-la-clape,0,Gérard Bertrand,69,4.3,1245,France
20,Les Mignottes Bouzy Rouge,Les Mignottes Bouzy Rouge 2019,2019,coteaux-champenois,0,Pierre Paillard,69,4.1,144,France
21,Margaux (Grand Cru Classé),Margaux (Grand Cru Classé) 2013,2013,margaux,0,Château Rauzan-Ségla,69,4.3,20420,France
22,Rosso di Montalcino,Rosso di Montalcino 1998,1998,rosso-di-montalcino,0,Biondi-Santi,69,4.1,6891,Italia
23,Moulis-en-Médoc,Moulis-en-Médoc 1986,1986,moulis-en-medoc,0,Château Chasse-Spleen,69,4.0,31165,France
24,Savigny Aux Serpentières Premier Cru,Savigny Aux Serpentières Premier Cru 1999,1999,savigny-les-beaune-aux-serpentieres,0,Pierre Guillemot,69,4.1,1086,France
25,Pessac-Léognan,Pessac-Léognan 1993,1993,pessac-leognan,0,Château Carbonnieux,69,4.0,15785,France
26,Oléa Côte-Rôtie,Oléa Côte-Rôtie 2017,2017,cote-rotie,0,Patrick Jasmin,69,4.4,84,France
27,Morey-Saint-Denis 1er Cru 'Les Millandes',Morey-Saint-Denis 1er Cru 'Les Millandes' 2013,2013,morey-saint-denis-les-milandes,0,Domaine Pierre Amiot et Fils,69,4.1,249,France
28,Beaune 1er Cru Clos des Ursules,Beaune 1er Cru Clos des Ursules 2013,2013,beaune-premier-cru,0,Domaine des Héritiers Louis Jadot,69,4.1,2261,France
29,La Roque Côtes du Roussillon Villages,La Roque Côtes du Roussillon Villages 2017,2017,cotes-du-roussillon-villages,0,Domaine Gauby,69,3.9,115,France
30,Nuits-Saint-Georges 'Les Fleurières',Nuits-Saint-Georges 'Les Fleurières' 2018,2018,nuits-saint-georges,0,Jean-Jacques Confuron,69,4.1,1363,France
31,Pomerol,Pomerol 2016,2016,pomerol,0,Château Beauregard,69,4.1,7808,France
