,wine brand name,wine name,year,region,type,winery,price,rating,no. ratings,country
0,Puligny-Montrachet 'Les Aubues',Puligny-Montrachet 'Les Aubues' 2020,2020,puligny-montrachet,0,Jean Claude Bachelet & Fils,92.0,4.3,417,France
1,Coume Gineste Côtes Catalanes,Coume Gineste Côtes Catalanes 2017,2017,cotes-catalanes,0,Domaine Gauby,92.0,4.1,599,France
2,Meursault Premier Cru 'Les Charmes',Meursault Premier Cru 'Les Charmes' 2020,2020,meursault-charmes,0,Domaine des Terres de Velle,92.0,4.2,67,France
3,Châteauneuf-du-Pape Boisrenard Blanc,Châteauneuf-du-Pape Boisrenard Blanc 2020,2020,chateauneuf-du-pape,0,Domaine de Beaurenard,92.38,4.1,288,France
4,Les Chaillées de L'Enfer Condrieu,Les Chaillées de L'Enfer Condrieu 2018,2018,condrieu,0,Domaine Georges Vernay,92.4,4.4,1899,France
5,Cuvée Marie Jurançon Sec,Cuvée Marie Jurançon Sec 2008,2008,jurancon,0,Clos Uroulat,92.48,3.8,1456,France
6,Chassagne-Montrachet 1er Cru 'La Maltroie',Chassagne-Montrachet 1er Cru 'La Maltroie' 2021,2021,chassagne-montrachet-la-maltroie,0,Domaine Coffinet-Duvernay,92.8,4.2,85,France
7,Chassagne-Montrachet Blanc,Chassagne-Montrachet Blanc 2020,2020,chassagne-montrachet,0,Domaine Michel Niellon,92.8,4.2,2584,France
8,Chassagne-Montrachet 1er Cru 'Clos Saint-Jean',Chassagne-Montrachet 1er Cru 'Clos Saint-Jean' 2020,2020,chassagne-montrachet-chassagne-du-clos-saint-jean,0,Domaine Coffinet-Duvernay,92.8,4.2,34,France
9,Chassagne-Montrachet Blanc,Chassagne-Montrachet Blanc 2019,2019,chassagne-montrachet,0,Domaine Michel Niellon,92.8,4.2,2584,France
10,Chassagne-Montrachet Blanc,Chassagne-Montrachet Blanc 2018,2018,chassagne-montrachet,0,Domaine Michel Niellon,92.8,4.2,2584,France
11,Chassagne-Montrachet 1er Cru 'La Maltroie',Chassagne-Montrachet 1er Cru 'La Maltroie' 2020,2020,chassagne-montrachet-la-maltroie,0,Domaine Coffinet-Duvernay,92.8,4.2,85,France
12,Testamatta Toscana Bianco,Testamatta Toscana Bianco 2021,2021,tuscany,0,Bibi Graetz,93.0,4.2,197,Italia
13,Coume Gineste Côtes Catalanes,Coume Gineste Côtes Catalanes 2001,2001,cotes-catalanes,0,Domaine Gauby,93.0,4.1,599,France
14,Auxey-Duresses Premier Cru 'En Reugne',Auxey-Duresses Premier Cru 'En Reugne' 2019,2019,auxey-duresses-premier-cru,0,Pierre Boisson,93.0,4.2,95,France
15,Meursault 1er Cru 'Les Charmes',Meursault 1er Cru 'Les Charmes' 2019,2019,meursault-charmes,0,Philippe Chavy,93.0,4.2,229,France
