,wine brand name,wine name,year,region,type,winery,price,rating,no. ratings,country
0,Savigny-lès-Beaune 'Les Peuillets',Savigny-lès-Beaune 'Les Peuillets' 2018,2018,savigny-les-beaune,0,Domaine Parigot,39,4.1,64,France
1,Cuvée Emma Vallée du Rhône,Cuvée Emma Vallée du Rhône 2018,2018,rhone,0,Domaine Gallety,39,4.1,606,France
2,Moulis-en-Médoc,Moulis-en-Médoc 1998,1998,moulis-en-medoc,0,Château Malmaison,39,3.8,3495,France
3,Saint Ferréol Bandol,Saint Ferréol Bandol 2020,2020,bandol,0,Domaine de la Tour du Bon,39,4.1,340,France
4,Ignaccio Rosso di Montalcino,Ignaccio Rosso di Montalcino 2015,2015,rosso-di-montalcino,0,Il Marroneto,39,3.9,1585,Italia
5,Pessac-Léognan (Grand Cru Classé),Pessac-Léognan (Grand Cru Classé) 2007,2007,pessac-leognan,0,Château Olivier,39,4.1,10315,France
6,Châteauneuf-du-Pape,Châteauneuf-du-Pape 2016,2016,chateauneuf-du-pape,0,Pierre Usseglio,39,4.1,5143,France
7,Le Meix Fringuet,Le Meix Fringuet 2018,2018,cote-de-nuits-villages,0,Domaine Trapet,39,3.9,215,France
8,Cuvée Marianne,Cuvée Marianne 2017,2017,cotes-de-thongue,0,Domaine Saint-Georges d'Ibry,39,0.0,0,France
9,Reserva Rioja Tempranillo,Reserva Rioja Tempranillo 2011,2011,rioja,0,Baigorri,39,4.0,6375,España
10,Amiral de Beychevelle Saint-Julien,Amiral de Beychevelle Saint-Julien 2020,2020,saint-julien,0,Château Beychevelle,39,4.0,8497,France
11,Saint-Estèphe,Saint-Estèphe 2015,2015,saint-estephe,0,Château Ormes de Pez,39,3.9,17255,France
12,Granit 60 Vieilles Vignes Cornas,Granit 60 Vieilles Vignes Cornas 2021,2021,cornas,0,Vincent Paris,39,4.1,1344,France
13,Moulis-en-Médoc,Moulis-en-Médoc 2020,2020,moulis-en-medoc,0,Château Chasse-Spleen,39,4.0,31165,France
14,Solen,Solen 2015,2015,pezenas,0,Domaine Les Aurelles,39,4.1,948,France
15,Marsannay 'Clos du Roy' Rouge,Marsannay 'Clos du Roy' Rouge 2020,2020,marsannay,0,Jean Fournier,39,4.0,1352,France
16,Virginie de Valandraud Saint-Émilion Grand Cru,Virginie de Valandraud Saint-Émilion Grand Cru 2017,2017,st-emilion-grand-cru,0,Château Valandraud,39,4.2,6368,France
17,Nizza Riserva,Nizza Riserva 2016,2016,nizza,0,Olim Bauda,39,4.2,269,Italia
18,Mas Borrás,Mas Borrás 2010,2010,penedes,0,Familia Torres,39,3.9,1589,España
19,Tenuta Lodola Nuova Vino Nobile di Montepulciano Riserva,Tenuta Lodola Nuova Vino Nobile di Montepulciano Riserva 2000,2000,vino-nobile-di-montepulciano,0,Ruffino,39,4.0,58,Italia
20,Monopole Pinot Noir,Monopole Pinot Noir 1999,1999,paso-robles,0,Windward,39,4.0,588,United States
21,Le Graveron Sancerre,Le Graveron Sancerre 2016,2016,sancerre,0,Henri Bourgeois,39,4.2,218,France
22,Santenay Premier Cru Beauregard,Santenay Premier Cru Beauregard 2018,2018,santenay-premier-cru,0,Edouard Delaunay,39,4.2,38,France
23,Bordeaux,Bordeaux 1998,1998,bordeaux,0,Château Balestard,39,3.8,69,France
24,Fixin La Mazière (Cuvée Signature),Fixin La Mazière (Cuvée Signature) 2015,2015,fixin,0,Bouchard Aîné & Fils,39,3.9,425,France
25,Savigny-lès-Beaune 'Les Peuillets',Savigny-lès-Beaune 'Les Peuillets' 2018,2018,savigny-les-beaune,0,Domaine Parigot,39,4.1,64,France
26,Cuvée Emma Vallée du Rhône,Cuvée Emma Vallée du Rhône 2018,2018,rhone,0,Domaine Gallety,39,4.1,606,France
27,Moulis-en-Médoc,Moulis-en-Médoc 1998,1998,moulis-en-medoc,0,Château Malmaison,39,3.8,3495,France
28,Saint Ferréol Bandol,Saint Ferréol Bandol 2020,2020,bandol,0,Domaine de la Tour du Bon,39,4.1,340,France
29,Pessac-Léognan (Grand Cru Classé),Pessac-Léognan (Grand Cru Classé) 2007,2007,pessac-leognan,0,Château Olivier,39,4.1,10315,France
30,Ignaccio Rosso di Montalcino,Ignaccio Rosso di Montalcino 2015,2015,rosso-di-montalcino,0,Il Marroneto,39,3.9,1585,Italia
31,Châteauneuf-du-Pape,Châteauneuf-du-Pape 2016,2016,chateauneuf-du-pape,0,Pierre Usseglio,39,4.1,5143,France
32,Reserva Rioja Tempranillo,Reserva Rioja Tempranillo 2011,2011,rioja,0,Baigorri,39,4.0,6375,España
33,Le Meix Fringuet,Le Meix Fringuet 2018,2018,cote-de-nuits-villages,0,Domaine Trapet,39,3.9,215,France
34,Amiral de Beychevelle Saint-Julien,Amiral de Beychevelle Saint-Julien 2020,2020,saint-julien,0,Château Beychevelle,39,4.0,8497,France
35,Cuvée Marianne,Cuvée Marianne 2017,2017,cotes-de-thongue,0,Domaine Saint-Georges d'Ibry,39,0.0,0,France
