,wine brand name,wine name,year,region,type,winery,price,rating,no. ratings,country
0,Meursault Terres Blanches,Meursault Terres Blanches 2021,2021,meursault,0,Régnard,85.0,4.2,321,France
1,Blanc Etc...,Blanc Etc... 2020,2020,pouilly-fume,0,Didier Dagueneau (Louis-Benjamin Dagueneau),85.0,4.3,358,France
2,Châteauneuf-du-Pape Blanc,Châteauneuf-du-Pape Blanc 2018,2018,chateauneuf-du-pape,0,Clos des Papes (Paul Avril),85.0,4.2,2211,France
3,Puligny-Montrachet 1er Cru Sous le Puits,Puligny-Montrachet 1er Cru Sous le Puits 2018,2018,puligny-montrachet-premier-cru,0,Louis Latour,85.0,4.2,668,France
4,Bordeaux Blanc,Bordeaux Blanc 2020,2020,bordeaux,0,Les Champs Libres,85.0,0.0,0,France
5,Chassagne-Montrachet Premier Cru 'Morgeot',Chassagne-Montrachet Premier Cru 'Morgeot' 2020,2020,chassagne-montrachet-morgeot,0,Bruno Colin,85.0,4.1,240,France
6,Meursault 1er Cru 'Les Gouttes d'Or',Meursault 1er Cru 'Les Gouttes d'Or' 2018,2018,meursault-les-gouttes-d-or,0,Louis Latour,85.0,4.2,460,France
7,Chassagne-Montrachet Premier Cru 'Les Chenevottes',Chassagne-Montrachet Premier Cru 'Les Chenevottes' 2018,2018,chassagne-montrachet-les-chenevottes,0,Jean Marc Pillot,85.0,4.2,178,France
8,Ried Klostersatz Grüner Veltliner Federspiel,Ried Klostersatz Grüner Veltliner Federspiel 2021,2021,wachau,0,F.X. Pichler,85.1,3.8,489,Österreich
9,Via del Campo Falanghina,Via del Campo Falanghina 2016,2016,irpinia,0,Quintodecimo,85.1,4.2,1934,Italia
10,Terre Alte,Terre Alte 2020,2020,rosazzo,0,Livio Felluga,85.4,4.3,5149,Italia
11,Chassagne-Montrachet 'Les Blanchots Dessous',Chassagne-Montrachet 'Les Blanchots Dessous' 2021,2021,chassagne-montrachet,0,Domaine Coffinet-Duvernay,85.4,4.4,306,France
12,Puligny-Montrachet,Puligny-Montrachet 2021,2021,puligny-montrachet,0,J.M. Boillot,85.5,4.3,2197,France
13,Coume Gineste Côtes Catalanes,Coume Gineste Côtes Catalanes 2020,2020,cotes-catalanes,0,Domaine Gauby,85.8,4.1,599,France
14,Muntada Côtes Catalanes,Muntada Côtes Catalanes 2020,2020,cotes-catalanes,0,Domaine Gauby,85.9,4.2,75,France
15,Drouhin - Vaudon Chablis Grand Cru 'Vaudesir',Drouhin - Vaudon Chablis Grand Cru 'Vaudesir' 2019,2019,chablis-grand-cru-vaudesir,0,Joseph Drouhin,86.0,4.2,592,France
16,Chablis Grand Cru 'Les Clos',Chablis Grand Cru 'Les Clos' 2021,2021,chablis-grand-cru-les-clos,0,Louis Jadot,86.0,4.3,160,France
17,Vieilles Vignes Chablis Grand Cru 'Valmur',Vieilles Vignes Chablis Grand Cru 'Valmur' 2020,2020,chablis-grand-cru-valmur,0,Domaine Guy Robin & Fils,86.0,4.3,397,France
18,Chablis Grand Cru 'Valmur',Chablis Grand Cru 'Valmur' 2018,2018,chablis-grand-cru-valmur,0,Domaine Romain Collet,85.0,4.4,50,France
19,Hipping Riesling,Hipping Riesling 2022,2022,rheinhessen,0,Kühling-Gillot,85.0,4.2,392,Deutschland
20,Pettenthal Riesling GG,Pettenthal Riesling GG 2022,2022,rheinhessen,0,Kühling-Gillot,85.0,4.3,789,Deutschland
21,Chassagne-Montrachet Premier Cru 'Morgeot' Blanc,Chassagne-Montrachet Premier Cru 'Morgeot' Blanc 1979,1979,chassagne-montrachet-morgeot,0,Louis Lequin,85.0,4.5,76,France
22,Marmar,Marmar 2019,2019,pfalz,0,Von Winning,85.0,4.5,519,Deutschland
23,Châteauneuf-du-Pape Blanc,Châteauneuf-du-Pape Blanc 2012,2012,chateauneuf-du-pape,0,Château de Vaudieu,86.0,4.1,570,France
