,wine brand name,wine name,year,region,type,winery,price,rating,no. ratings,country
0,Pessac-Léognan Blanc (Grand Cru Classé de Graves),Pessac-Léognan Blanc (Grand Cru Classé de Graves) 2015,2015,pessac-leognan,0,Château Malartic-Lagravière,61.0,4.0,1912,France
1,Nuits-Saint-Georges Premier Cru 'Clos des Perrières' Blanc,Nuits-Saint-Georges Premier Cru 'Clos des Perrières' Blanc 2014,2014,nuits-saint-georges-les-perrieres,0,Guy & Yvan Dufouleur,61.0,4.2,165,France
2,Paradoxe Savagnin Macéré,Paradoxe Savagnin Macéré 2022,2022,jura,0,Jérôme Arnoux,61.08,0.0,0,France
3,Collection Clément VI Châteauneuf-du-Pape Blanc,Collection Clément VI Châteauneuf-du-Pape Blanc 2021,2021,chateauneuf-du-pape,0,La Grande Collection des Papes,61.5,0.0,0,France
4,Riesling Alsace Grand Cru 'Schlossberg',Riesling Alsace Grand Cru 'Schlossberg' 2018,2018,alsace-grand-cru-schlossberg,0,Trimbach,61.5,4.1,256,France
5,Sauvignon,Sauvignon 2019,2019,collio-goriziano,0,Villa Russiz,61.6,3.8,1255,Italia
6,Lieben Aich,Lieben Aich 2016,2016,alto-adige,0,Manincor,61.6,4.1,518,Italia
7,Kerner,Kerner 2021,2021,trentino-alto-adige,0,Taschlerhof,61.6,4.0,818,Italia
8,Pinot Bianco Riserva Vorberg,Pinot Bianco Riserva Vorberg 2019,2019,alto-adige,0,Terlan (Terlano),61.6,4.2,9436,Italia
9,Chassagne-Montrachet Blanc,Chassagne-Montrachet Blanc 2020,2020,chassagne-montrachet,0,Louis Jadot,61.79,4.2,1269,France
10,Beaune 1er Cru 'Bressandes' Blanc,Beaune 1er Cru 'Bressandes' Blanc 2017,2017,beaune-les-bressandes,0,Louis Jadot - Domaine Gagey,61.8,4.1,315,France
11,Pessac-Léognan Blanc,Pessac-Léognan Blanc 2016,2016,pessac-leognan,0,Château La Louvière,61.88,3.9,1159,France
12,Vintage Tunina,Vintage Tunina 2021,2021,venezia-giulia,0,Jermann,61.98,4.3,10197,Italia
13,Meursault 1er Cru 'Les Bouchères',Meursault 1er Cru 'Les Bouchères' 2007,2007,meursault-les-boucheres,0,Maison de Montille,62.0,4.2,165,France
14,Muenchberg Riesling,Muenchberg Riesling 2019,2019,alsace-grand-cru-muenchberg,0,Domaine Ostertag,62.0,4.1,1917,France
15,Vieilles Vignes Meursault,Vieilles Vignes Meursault 2020,2020,meursault,0,Domaine Philippe Pernot-Belicard,62.0,4.1,345,France
16,Saint-Véran,Saint-Véran 2020,2020,saint-veran,0,Les Héritiers du Comte Lafon,62.0,4.0,729,France
17,Asphodill Kallmuth GG Silvaner,Asphodill Kallmuth GG Silvaner 2021,2021,franken,0,Fürst Löwenstein,62.0,0.0,0,Deutschland
18,Pur Blanc,Pur Blanc 2021,2021,saint-peray,0,Domaine du Tunnel,62.0,4.1,135,France
19,Cuvée du Passiflore Saint-Romain,Cuvée du Passiflore Saint-Romain 2016,2016,saint-romain,0,Laurent Ponsot,62.0,3.9,100,France
20,Meursault 'Clos du Cromin',Meursault 'Clos du Cromin' 2020,2020,meursault,0,Bitouzet-Prieur,62.0,4.2,535,France
21,Morey-Saint-Denis 'La Bidaude',Morey-Saint-Denis 'La Bidaude' 2020,2020,morey-saint-denis,0,Domaine Jean-Pierre Guyon,62.0,3.9,138,France
22,Clos Romans,Clos Romans 2021,2021,saumur,0,Domaine des Roches Neuves,62.0,4.0,492,France
23,Clos Romans,Clos Romans 2019,2019,saumur,0,Domaine des Roches Neuves,62.0,4.0,492,France
24,Monthélie 1er Cru 'Les Duresses' Blanc,Monthélie 1er Cru 'Les Duresses' Blanc 2021,2021,monthelie-les-duresses,0,Monthelie Douhairet Porcheret,62.0,4.0,65,France
25,Pessac-Léognan Blanc (Grand Cru Classé de Graves),Pessac-Léognan Blanc (Grand Cru Classé de Graves) 2015,2015,pessac-leognan,0,Château Malartic-Lagravière,61.0,4.0,1912,France
26,Nuits-Saint-Georges Premier Cru 'Clos des Perrières' Blanc,Nuits-Saint-Georges Premier Cru 'Clos des Perrières' Blanc 2014,2014,nuits-saint-georges-les-perrieres,0,Guy & Yvan Dufouleur,61.0,4.2,165,France
27,Paradoxe Savagnin Macéré,Paradoxe Savagnin Macéré 2022,2022,jura,0,Jérôme Arnoux,61.08,0.0,0,France
28,Collection Clément VI Châteauneuf-du-Pape Blanc,Collection Clément VI Châteauneuf-du-Pape Blanc 2021,2021,chateauneuf-du-pape,0,La Grande Collection des Papes,61.5,0.0,0,France
29,Riesling Alsace Grand Cru 'Schlossberg',Riesling Alsace Grand Cru 'Schlossberg' 2018,2018,alsace-grand-cru-schlossberg,0,Trimbach,61.5,4.1,256,France
30,Sauvignon,Sauvignon 2019,2019,collio-goriziano,0,Villa Russiz,61.6,3.8,1255,Italia
31,Lieben Aich,Lieben Aich 2016,2016,alto-adige,0,Manincor,61.6,4.1,518,Italia
32,Kerner,Kerner 2021,2021,trentino-alto-adige,0,Taschlerhof,61.6,4.0,818,Italia
33,Pinot Bianco Riserva Vorberg,Pinot Bianco Riserva Vorberg 2019,2019,alto-adige,0,Terlan (Terlano),61.6,4.2,9436,Italia
34,Chassagne-Montrachet Blanc,Chassagne-Montrachet Blanc 2020,2020,chassagne-montrachet,0,Louis Jadot,61.79,4.2,1269,France
35,Beaune 1er Cru 'Bressandes' Blanc,Beaune 1er Cru 'Bressandes' Blanc 2017,2017,beaune-les-bressandes,0,Louis Jadot - Domaine Gagey,61.8,4.1,315,France
36,Pessac-Léognan Blanc,Pessac-Léognan Blanc 2016,2016,pessac-leognan,0,Château La Louvière,61.88,3.9,1159,France
37,Vintage Tunina,Vintage Tunina 2021,2021,venezia-giulia,0,Jermann,61.98,4.3,10197,Italia
38,Meursault 1er Cru 'Les Bouchères',Meursault 1er Cru 'Les Bouchères' 2007,2007,meursault-les-boucheres,0,Maison de Montille,62.0,4.2,165,France
39,Muenchberg Riesling,Muenchberg Riesling 2019,2019,alsace-grand-cru-muenchberg,0,Domaine Ostertag,62.0,4.1,1917,France
40,Vieilles Vignes Meursault,Vieilles Vignes Meursault 2020,2020,meursault,0,Domaine Philippe Pernot-Belicard,62.0,4.1,345,France
41,Saint-Véran,Saint-Véran 2020,2020,saint-veran,0,Les Héritiers du Comte Lafon,62.0,4.0,729,France
42,Asphodill Kallmuth GG Silvaner,Asphodill Kallmuth GG Silvaner 2021,2021,franken,0,Fürst Löwenstein,62.0,0.0,0,Deutschland
43,Pur Blanc,Pur Blanc 2021,2021,saint-peray,0,Domaine du Tunnel,62.0,4.1,135,France
