,wine brand name,wine name,year,region,type,winery,price,rating,no. ratings
638,Ronco delle Mele Sauvignon,Ronco delle Mele Sauvignon 2021,2021,Collio,0,Venica & Venica,65.55,4.3,6374
639,Pino & Toi,Pino & Toi 1989,1989,Breganze,0,Maculan,65.55,3.5,538
640,Dall'Isola Bianco,Dall'Isola Bianco 2018,2018,Vino d'Italia,0,Joaquin,65.55,3.9,338
641,Gewürztraminer Alsace Grand Cru 'Kessler',Gewürztraminer Alsace Grand Cru 'Kessler' 2018,2018,Alsace Grand Cru,0,Domaines Schlumberger,65.55,4.0,1739
642,Seven Flags Chardonnay,Seven Flags Chardonnay 2018,2018,Elgin,0,Paul Cluver,65.95,4.3,682
643,Mont de Milieu Chablis Premier Cru,Mont de Milieu Chablis Premier Cru 2017,2017,Chablis,0,Albert Pic,65.98,4.1,382
644,Barón de Chirel Verdejo Viñas Centenarias,Barón de Chirel Verdejo Viñas Centenarias 2021,2021,Castilië en León,0,Marqués de Riscal,65.98,4.2,623
645,Pure Santorini,Pure Santorini 2017,2017,Santorini,0,Volcanic Slopes Vineyard,65.98,4.2,1562
646,Jardin Suspendu Condrieu,Jardin Suspendu Condrieu 2021,2021,Condrieu,0,Pierre Jean Villa,66.0,4.3,696
647,Les Roncières Chablis 1er Cru,Les Roncières Chablis 1er Cru 2020,2020,Chablis 1er Cru 'Roncières',0,Patrick Piuze,66.0,4.2,144
648,Châteauneuf-du-Pape (La Crau) Blanc,Châteauneuf-du-Pape (La Crau) Blanc 2021,2021,Châteauneuf-du-Pape,0,Domaine du Vieux Télégraphe,66.0,4.3,3088
649,Vieilles Vignes Meursault,Vieilles Vignes Meursault 2018,2018,Meursault,0,Domaine Philippe Pernot-Belicard,66.0,4.1,345
650,Chablis Grand Cru 'Valmur',Chablis Grand Cru 'Valmur' 2013,2013,Chablis Grand Cru 'Valmur',0,Chanson,66.3,4.3,29
651,Chassagne Montrachet 'En Pimont',Chassagne Montrachet 'En Pimont' 2016,2016,Chassagne-Montrachet,0,Au Pied du Mont Chauve,66.38,4.1,1117
652,Mâcon-Villages,Mâcon-Villages 2018,2018,Mâcon-Villages,0,Robert-Denogent,66.96,4.0,1930
653,Capo Martino,Capo Martino 2017,2017,Venezia Giulia,0,Jermann,67.0,4.2,1984
